company name,contact number,area,product category 1,product category 2
"DISTRIBUIDORA DE ALUMINIO INDUSTRIAL, S.A. DE C.V., DAISA",tel:+52 33 5000 1350,Tlacomulco de zuñiga - Mexico,Basic metal products,"Sheet iron and steel, coated or magnetic"
"MARCADORES DE PAVIMENTO, S. A. DE C.V.",tel:+52 55 5485 2801,México - Mexico,Rubber products,"Technical parts, rubber, by industry"
"TECNOVIDRIO, S.A. DE C.V.",tel:+52 55 3000 2000,México - Mexico,Glass products,"Glass, cement and ceramics"
"INTERNACIONAL DE FIBRAS Y EQUIPOS, S.A. DE C.V., IFESA",tel:+52 81 8336 8939,Santa catarina - Mexico,Paper and board,Base and backing paper
"PLASTICOS KYO, S.A. DE C.V.",tel:+52 55 5872 9274,Izcalli - Mexico,Plastic processing services,Industrial subcontractors
"OPERADORA ETESA, S.A. DE C.V.",tel:+52 55 5662 2623,México - Mexico,,
"METOKOTE DE MEXICO, S. DE R.L. DE C.V.",tel:+52 844 415 5840,Ramos arizpe - Mexico,Chemical products,"Pigments, synthetic"
"AGROINDUSTRIAS UNIDAS DE MEXICO, S.A. DE C.V.",tel:+52 55 5257 6500,México - Mexico,Agriculture and forestry,Edible seeds
"SERVYRE, S.A. DE C.V.",tel:+52 55 5545 1289,México - Mexico,Safety signs and warning lights,Security equipment
"LIQUIDACIONES INTERNACIONALES COLZAB, S.A. DE C.V.",tel:+52 871 750 5715,Torreón - Mexico,Plutonic rocks,Quarried stone
"COMETRA SERVICIOS INTEGRALES, S.A. DE C.V.",tel:+52 55 5764 9832,México - Mexico,General insurance companies,Financial and insurance services
"PARTICIPACIONES MARIANO, S.A. DE C.V.",tel:+52 55 5566 3454,México - Mexico,Food,"Abattoir products, non-processed"
"AGENCIAS GRUPO CSAV MEXICO, S.A. DE C.V.",tel:+52 55 5010 7700,México - Mexico,Transportation and logistics services,"Shipping services, passenger and freight"
"GRUPO MORSA DE MEXICO, S.A. DE C.V.",tel:+52 667 758 2020,Culiacán - Mexico,Agricultural and forestry machinery and equipment,Agricultural equipment parts and accessories
"MCS NETWORK SOLUTION, S.A. DE C.V.",tel:+52 81 8151 7300,Monterrey - Mexico,Telecommunication switching systems,Electronic equipment. Telecommunications equipment
"AYSTEL TELECOMUNICACIONES, S.A. DE C.V.",tel:+52 55 2626 5160,Tlalnepantla - Mexico,"Electric cables, insulated",Electrical equipment. Nuclear equipment
"TECNICOS AGRONOMOS, S.A. DE C.V.",tel:+52 33 3810 6018,Guadalajara - Mexico,Agriculture and forestry,Edible seeds
"PROVEMEX AVICOLA, S.A. DE C.V.",tel:+52 871 749 2000,Gómez palacio - Mexico,Livestock and fish,Poultry
"APLICACIONES MEDICAS INTEGRALES, S.A. DE C.V., MEDICUS",tel:+52 55 1084 8787,México - Mexico,"Health, medical and pharmaceutical",Medical equipment and instruments
"FORESTAL ALFA, S.A. DE C.V.",tel:+52 618 814 0289,Durango - Mexico,"Timber, wooden products, machinery and equipment for the woodworking industry","Sawn wood, by use"
"TRANE, S.A. DE C.V., TRANE",tel:+52 81 8196 0600,Apodaca - Mexico,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment","Ventilation, air conditioning (VAC) plants"
"CORPORATIVO DE MATERIALES, S.A. DE C.V., GRUPO BOXITO",tel:+52 999 930 0500,Mérida - Mexico,Rubber products,"Technical parts, rubber, by industry"
"ETICOLOR, S.A. DE C.V.",tel:+52 614 415 9394,Chihuahua - Mexico,Coated and laminated paper and board,Paper and board
"GST AUTOLEATHER DE MEXICO, S.A. DE C.V.",tel:+52 844 438 9300,Arteaga - Mexico,"Leathers, furs and their products","Fancy goods, leather"
"MAPCO MATERIALES, S.A. DE C.V.",tel:+52 642 425 8800,Navojoa - Mexico,Slate,Quarried stone
"INDUSTRIAL ZAPATERA JR, S.A. DE C.V.",tel:+52 477 214 4100,León - Mexico,"Leathers, furs and their products",Leather goods for industrial use
"SISTEMAS ECOLOGICOS PARA EL CONTROL DE PLAGAS, S.A. DE C.V., UNIVAR MEXICO",tel:+52 55 5271 3409,México - Mexico,Chemical products,"Fertilisers, organic carbon based"
"ADS MEXICANA, S.A. DE C.V. (OFICINAS CORPORATIVAS Y PLANTA NORESTE)",tel:+52 81 8625 4500,Santa catarina - Mexico,"Pipes, tubes, ducts and hoses, plastic",Plastic products
"COMPAÑIA MEXICANA TEXTIL, S.A. DE C.V.",tel:+52 55 5597 5100,México - Mexico,Textiles,"Ribbons and tapes, textile"
"FAURECIA DUROPLAST MEXICO, S.A. DE C.V.",tel:+52 222 229 8700,Puebla - Mexico,Means of transport,Light trailer and caravan components and accessories
"PLASTANK, S.A. DE C.V.",tel:+52 81 8336 3025,Santa catarina - Mexico,Glass fibre reinforced plastic (GRP) products,Plastic products
"AVOMEX INTERNATIONAL, S.A. DE C.V.",tel:+52 861 613 0473,Sabinas - Mexico,Food,"Fruit, processed"
"IDSIMEX, S.A. DE C.V.",tel:+52 55 5256 4708,México - Mexico,Security equipment,Locks and padlocks
"CORPORACION INJECTOPLASTICS, S.A. DE C.V.",tel:+52 656 251 7858,Ciudad juárez - Mexico,Plastic products for the electrical and electronics industries,Plastic products
"SERVI INDUSTRIAS DEL NOROESTE, S.A. DE C.V.",tel:+52 662 217 3146,Hermosillo - Mexico,Food,"Food, dehydrated and freeze-dried"
"ROLANDO CASTELO PARADA, GRUPO ROLANDO CASTELO",tel:+52 662 214 9033,Hermosillo - Mexico,Agriculture and forestry,Root vegetables
"RECONSTRUCTORA ALPHA, S.A. DE C.V.",tel:+52 614 417 6700,Chihuahua - Mexico,Electrical equipment. Nuclear equipment,Electric controllers
"COOPER-STANDARD AUTOMOTIVE SEALING DE MEXICO, S.A. DE C.V. (PLANTA AGUASCALIENTES)",tel:+52 449 922 2000,San francisco de los romo - Mexico,"Rings and washers, rubber",Rubber products
"SODEXHO MEXICO, S.A. DE C.V.",tel:+52 55 1102 3300,México - Mexico,Printing and publishing,Publishing: Newspapers and magazines
"ARTEVA SPECIALITIES, S. DE R.L. DE C.V., INVISTA (Corporativo -)",tel:+52 55 9177 5700,México - Mexico,"Textile fibres, man-made",Textiles
"CENTRAL DE BOLSAS, S.A. DE C.V.",tel:+52 33 3134 0189,Zapopán - Mexico,"Bags and sacks, plastic",Plastic products
"DIXON COMERCIALIZADORA, S.A. DE C.V.",tel:+52 55 5864 7900,Tultitlán - Mexico,Paper and board,Stationery articles
"HILASAL MEXICANA, S.A. DE C.V.",tel:+52 33 3668 1900,El salto - Mexico,Furniture and linen,Bath linen
"EMBOTELLADORA DE TAMPICO, S.A. DE C.V.",tel:+52 833 241 1000,Tampico - Mexico,Beverages,Cordials (squash)
"ELECTRICA LOVI, S.A. DE C.V.",tel:+52 625 582 3239,Ciudad cuauhtémoc - Mexico,Electrical equipment. Nuclear equipment,Transformers and auto-transformers
"MATERIAS PRIMAS MONTERREY, S. DE R.L. DE C.V., GRUPO MATERIAS PRIMAS",tel:+52 81 8151 2800,Monterrey - Mexico,Spar minerals,Ores and minerals
"MABE SANYO COMPRESSORS, S.A. DE C.V.",tel:+52 444 826 6328,San luis potosí - Mexico,Compressors,Engines and mechanical parts
"LACTICA, S.A. DE C.V. (CHEN)",tel:+52 55 5600 7077,México - Mexico,Food,Milks
"ASESORIA Y SERVICIOS DE COPIADO, S.A. DE C.V.",tel:+52 686 567 2623,Mexicali - Mexico,Equipment for telephone networks,Electronic equipment. Telecommunications equipment
"LEGRAND DE MEXICO, S.A. DE C.V. (OFICINAS GENERALES)",tel:+52 55 5083 0180,México - Mexico,Electrical equipment. Nuclear equipment,Electric connectors
"MOBILIARIO, S.A. DE C.V.",tel:+52 55 5300 0620,Naucalpan de juárez - Mexico,Furniture and linen,Furniture for hotels and restaurants
"TOYOTA MOTOR MANUFACTURING DE BAJA CALIFORNIA, Inc. S. DE R.L. DE C.V., TMMBC",tel:+52 664 969 2800,Tijuana - Mexico,Cylinder block components for internal combustion engine,Engines and mechanical parts
"FRIGORIZADOS LA HUERTA, S.A. DE C.V.",tel:+52 449 910 0800,Aguascalientes - Mexico,"Food products, chilled, fresh and ultra-fresh",Food
"VITA DROG, S.A. DE C.V.",tel:+52 55 5260 3280,México - Mexico,Manganese compounds,Chemical base materials
"VALEO TERMICO, S.A. DE C.V.",tel:+52 444 824 0131,San luis potosí - Mexico,Mechanical assembly contractors,Industrial subcontractors
"ERICSSON TELECOM, S.A. DE C.V.",tel:+52 55 1103-0000,México - Mexico,Microelectronic equipment,Electronic equipment. Telecommunications equipment
"PRECIMEX, S.A. DE C.V.",tel:+52 55 5095 4940,México - Mexico,Vitamines,Chemical base materials
"PROCESOS PLASTICOS, S.A. DE C.V.",tel:+52 55 5888 1217,Tultitlán - Mexico,"Seals, closures and caps, plastic",Plastic products
"DIARQ INTERNACIONAL, S.A. DE C.V.",tel:+52 55 5520 4404,México - Mexico,Fitting out and furnishing contractors. Interior decoration/design,Building industry
"EXCLUSIVAS BENET, S.A. DE C.V.",tel:+52 55 5552 7477,México - Mexico,Beverages,"Wine, grape"
"LESTER, S.A. DE C.V.",tel:+52 222 285 0504,Puebla - Mexico,Furniture and linen,Mattresses
"PISA AGROPECUARIA, S.A. DE C.V.",tel:+52 33 3678 1600,Guadalajara - Mexico,"Amines, including salts, amides and other organic nitrogen compounds NES",Chemical base materials
"GARZA ORTA PATRICIA, AMBIANCE INTERIORS",tel:+52 844 416 7706,Saltillo - Mexico,"Furniture, domestic",Furniture and linen
"TEX-NO-TEJ, S.A. DE C.V.",tel:+52 55 5972 0157,Ixtapaluca - Mexico,Textiles,"Fabrics, man-made fibres"
"IMPORTACIONES Y COMERCIALIZACIONES BUSTAMANTE, S.A. DE C.V.",tel:+52 55 5559 0942,México - Mexico,Agriculture and forestry,Stone fruits
"GRUPO TRICO, S.A. DE C.V.",tel:+52 55 3095 1500,México - Mexico,Food,Pastries and cakes
"ALMEXA ALUMINIO, S.A. DE C.V. (PLANTA TULPETLAC)",tel:+52 55 5776 4974,Ecatepec de morelos - Mexico,"Semi-manufactured products, aluminium and its alloys",Basic metal products
"LASES COMPUTACION DEL SURESTE, S.A. DE C.V.",tel:+52 999 944 4595,Mérida - Mexico,Information technology (IT) and Internet,Information technology (IT) outsourcing services
"TAKATA DE MEXICO, S.A. DE C.V.",tel:+52 866 649 6500,Ciudad frontera - Mexico,Means of transport,Motor vehicle accessories
"TONY TIENDAS, S.A. DE C.V.",tel:+52 229 923 1700,Veracruz - Mexico,Paper and board,Stationery articles
"TEYCON, S.A. DE C.V.",tel:+52 81 8335 6101,Monterrey - Mexico,Clothes by fabric,Clothing and footwear
"IDEAL STANDARD, S.A. DE C.V.",tel:+52 55 5699 0000,Ecatepec de morelos - Mexico,"Furniture, domestic",Furniture and linen
"INAMEX DE CERVEZA Y MALTA, S.A. DE C.V.",tel:+52 595 952 0500,Texcoco - Mexico,Beers,Beverages
"YORK INTERNATIONAL, S.A. DE C.V.",tel:+52 81 8154 6000,Apodaca - Mexico,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Air conditioners
"CADBURY ADAMS MEXICO, S. DE R.L. DE C.V.",tel:+52 55 5326 8300,México - Mexico,Sugar confectionery,Food
"CERVECERIA CUAUHTEMOC MOCTEZUMA, S.A. DE C.V.",tel:+52 81 8328 5000,Monterrey - Mexico,Beers,Beverages
"COMPAÑIA HULERA TORNEL, S.A. DE C.V.",tel:+52 55 5354 0200,México - Mexico,Tyres and inner tubes,Rubber products
"SERVICIOS INDUSTRIALES NOVA LINK, S.A. DE C.V.",tel:+52 868 810 1023,Matamoros - Mexico,Clothes for women,Clothing and footwear
"ACCURIDE INTERNATIONAL, S.A. DE C.V.",tel:+52 686 561 7874,Mexicali - Mexico,Ironmongery and hardware for furniture,"Hardware, ironmongery, cutlery and tools"
"FOAMEX DE CUAUTITLAN, S.A. DE C.V.",tel:+52 55 5899 3500,Cuautitlán izcalli - Mexico,Cellular/foam rubber products,Rubber products
"ARAMARK MONCLOVA MANUFACTURING DE MEXICO, S.A. DE C.V.",tel:+52 866 632 0449,Monclova - Mexico,Textiles,Machining services for clothing and textile goods
"MEXICHEM RESINAS VINILICAS, S.A. DE C.V. (PLANTA - RESINAS VINILICAS)",tel:+52 833 229 0100,Altamira - Mexico,Fuels and petroleum based products,Chemical base materials
"MEGA DIRECT, S.A. DE C.V.",tel:+52 55 5377 4810,México - Mexico,Paper and board,Stationery articles
"DISTRIBUIDORA MEGAMAK, S.A. DE C.V.",tel:+52 999 930 1300,Mérida - Mexico,Compressors by use,Engines and mechanical parts
"CRISTALES Y LUNAS DE LA LAGUNA, S.A. DE C.V., CRILLSA",tel:+52 871 750 5504,Torreón - Mexico,"Metal components and fittings for gates, doors, windows, skylights, shutters, blinds and awnings","Hardware, ironmongery, cutlery and tools"
"HONEYWELL AEROSPACE DE MEXICO, S.A. DE C.V.",tel:+52 686 580 5300,Mexicali - Mexico,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Radiators
"ECOVAL DAIRY TRADE, S.A. DE C.V.",tel:+52 55 5557 8020,México - Mexico,Food,Cream
"FACTOR INTEGRACION, S.A. DE C.V.",tel:+52 55 5999 1650,México - Mexico,Electronic and telecommunications equipment for military use,Electronic equipment. Telecommunications equipment
"DISTRIBUIDORA Y COMERCIALIZADORA INTERNACIONAL DEL NORTE, S.A. DE C.V.",tel:+52 81 8372 0780,Monterrey - Mexico,Food,"Abattoir products, non-processed"
"ARCA MANUFACTURAS, S.A. DE C.V.",tel:+52 33 3635 3506,Guadalajara - Mexico,Means of transport,Truck/lorry trailers
"PREMIERE PRODUCTS MEXICO, S. DE R.L. DE C.V.",tel:+52 722 279 1355,Lerma - Mexico,"Bags and sacks, plastic, by use",Plastic products
"COOPER-STANDARD AUTOMOTIVE DE MEXICO FLUID SERVICE, S. DE R.L. DE C.V., COOPER-STANDARD (CORPORATIVO -)",tel:+52 871 729 0700,Torreón - Mexico,Exhaust system components for internal combustion engine,Engines and mechanical parts
"BASCULAS DE MONTERREY, S.A. DE C.V.",tel:+52 81 8352 0420,San nicolás de los garza - Mexico,"Scales, balances and weighing machines",Measuring and testing equipment
"SUKARNE, S.A. DE C.V.",tel:+52 667 759 2600,Culiacán - Mexico,Food,"Abattoir products, non-processed"
"AVICOLA Y GANADERA DE JALISCO, S.A. DE C.V.",tel:+52 33 3836 4400,Zapopan - Mexico,Livestock and fish,Poultry
"BEBIDAS REFRESCANTES DE NOGALES, S.A. DE C.V.",tel:+52 631 311 3300,Nogales - Mexico,Beverages,Cordials (squash)
"PALACE RESORTS, S.A. DE C.V.",tel:+52 998 193 2010,Cancún - Mexico,"Hospitality, tourism, hotel and catering industries",Hotels and motels
"ESSELTE DE MEXICO, S.A. DE C.V.",tel:+52 55 5393 5022,Tlalnepnatla - Mexico,"Timber, wooden products, machinery and equipment for the woodworking industry","Carvings, pyrography and marquetry, wooden"
"MOLDES Y EXHIBIDORES, S.A. DE C.V.",tel:+52 728 282 7700,Lerma - Mexico,Foundry mould and pattern making contractors,Industrial subcontractors
"INOVA RECUBRIMIENTOS, S.A. DE C.V.",tel:+52 442 228 5898,Querétaro - Mexico,Perlite products,"Glass, cement and ceramics"
"ALIMENTOS Y PRODUCTOS PARA GANADO LECHERO, S.A. DE C.V.",tel:+52 664 689 2788,Tijuana - Mexico,Food,Animal feed
"ALCATEL-LUCENT DE MEXICO, S.A. DE C.V.",tel:+52 55 5870 9000,Cuautitlán izcalli - Mexico,Plastic products for the electrical and electronics industries,Plastic products
"CALZADO LANCREI, S.A. DE C.V.",tel:+52 33 3615 7122,Guadalajara - Mexico,Clothes for women,Clothing and footwear
"PRODUCTOS ALIMENTICIOS LA MODERNA, S.A. DE C.V. (Corporativo)",tel:+52 722 214 5722,Toluca - Mexico,Food,Pasta
"AUMA, S.A. DE C.V.",tel:+52 614 439 4500,Chihuahua - Mexico,Cylinder block components for internal combustion engine,Engines and mechanical parts
"NACIONAL DE CARROCERIAS, S.A. DE C.V., NACASA",tel:+52 55 5561 7706,México - Mexico,Means of transport,Truck/lorry trailers
"LA COSTA DISTRIBUCIONES COMERCIALES, S.A. DE C.V.",tel:+52 662 260 6328,Hermosillo - Mexico,Agriculture and forestry,Root vegetables
"JIVAL ALIMENTOS, S.A. DE C.V.",tel:+52 81 8323 2044,Guadalupe - Mexico,Food,Delicatessen meats
"COMPAÑIA EMBOTELLADORA DE BAJA CALIFORNIA SUR, S.A. DE C.V., BEBIDAS ENVASADAS DEL PACIFICO",tel:+52 612 121 1170,La paz - Mexico,Alcoholic spirits,Beverages
"INGENIO DE PUGA, S.A. DE C.V., IPSA",tel:+52 311 242 0274,Tepic - Mexico,Sugar,Food
"INGENIO LA GLORIA, S.A.",tel:+52 800 228 0021,Veracruz - Mexico,Sugar,Food
"GARCIS, S.A. DE C.V., GARCIS",tel:+52 55 5762 7254,México - Mexico,"Leathers, furs and their products","Travel goods, handbags and similar articles, leather"
"T.C. JACOBY & COMPANY DE MEXICO, S.A. DE C.V.",tel:+52 55 5687 5008,México - Mexico,Food,Milks
"PERNOD RICARD MEXICO, S.A. DE C.V., CASA PEDRO DOMECQ",tel:+52 55 1105 9292,México - Mexico,Alcoholic spirits,Beverages
"ALPLA FABRICA DE PLASTICOS, S.A. DE C.V. (PLANTA)",tel:+52 722 275 4500,Toluca - Mexico,Wrapping paper and paper packaging materials,Paper and board
"GRUPO EL BAZAR, S.A. DE C.V.",tel:+52 612 122 4470,La paz - Mexico,"Kitchen articles, plastic",Plastic products
"EXPORTACIONES IM PROMOCION, S.A. DE C.V., EXIMPRO (Planta -)",tel:+52 55 1314 0338,Chicoloapan - Mexico,Coated and laminated paper and board,Paper and board
"MC CORMICK DE MEXICO, S.A. DE C.V., MC CORMICK",tel:+52 55 5576 3100,México - Mexico,Food,"Fruit, processed"
"MADERAS DE ACAPULCO LA FE, S.A. DE C.V.",tel:+52 744 441 4778,Acapulco - Mexico,"Timber/logs, temperate zone","Timber, wooden products, machinery and equipment for the woodworking industry"
"SUMINISTROS MARINOS E INDUSTRIALES DE MEXICO, S.A. DE C.V.",tel:+52 833 212 8181,Tampico - Mexico,"Hardware, ironmongery, cutlery and tools","Hammers, mallets and similar tools"
"GARZA DISTRIBUCIONES DE QUERETARO, S.A. DE C.V.",tel:+52 442 213 4023,Querétaro - Mexico,Adhesive and self-adhesive tapes and rolls,Paper and board
"COMPAÑIA INTERNACIONAL DE METALES, S.A. DE C.V.",tel:+52 81 8239 0800,Escobedo - Mexico,"Environmental services, renewable energies",Metal waste collection and recycling services
"MADERAS MUNDIALES, S.A. DE C.V.",tel:+52 866 633 2131,Monclova - Mexico,"Timber/logs, temperate zone","Timber, wooden products, machinery and equipment for the woodworking industry"
"KEY SAFETY SYSTEMS DE MEXICO, S. DE R.L. DE C.V.",tel:+52 656 630 2084,Ciudad juárez - Mexico,Means of transport,Motor vehicle safety equipment and accessories
"DISTRIBUIDORA GONHER, S.A. DE C.V.",tel:+52 871 718 7600,Torreón - Mexico,"Hardware, ironmongery, cutlery and tools","Metal and steel wires, by use"
"HELVEX, S.A. DE C.V.",tel:+52 55 5333 9400,México - Mexico,Washbasins and hand sinks,Furniture and linen
"DISTRIBUIDORA Y CONVERTIDORA INDUSTRIAL, S.A. DE C.V., DICOISA",tel:+52 55 5576 2677,Naucalpan - Mexico,Malt,Food
"TWR TELECOM, S.A. DE C.V.",tel:+52 33 3810 8038,Guadalajara - Mexico,Building industry,Telecommunication installation contractors
"INDUSTRIAS KIRKWOOD, S.A. DE C.V.",tel:+52 722 265 7500,Toluca - Mexico,Tie rods for electric motors,"Hardware, ironmongery, cutlery and tools"
"LUMISISTEMAS DE MEXICO, S.A. DE C.V.",tel:+52 55 5269 9007,Naucalpan - Mexico,Electrical equipment. Nuclear equipment,Electric lamps
"PRODUCTOS LACTEOS DE CALIDAD, S. DE R.L. DE C.V.",tel:+52 55 5547 0469,México - Mexico,Agriculture and forestry,Cereals and pseudo cereals
"PRODUCCIONES MEXICANAS DISCOGRAFICAS, S.A. DE C.V., PRODISC",tel:+52 55 8596 2200,México - Mexico,Printing and publishing,"Book, compact disc (CD) and digital versatile disc (DVD) clubs"
"JUGOMEX, S.A. DE C.V.",tel:+52 55 5836 9999,Ecatepec de morelos - Mexico,Beverages,Fruit juices
"COMERCIAL HISPANA, S. DE R. L.",tel:+52 55 5681 5009,México - Mexico,Food,"Meat, poultry and game, canned and otherwise packaged"
"CREARTON, S.A. DE C.V., CREARTON CREATIVIDAD Y ARTE EN CARTON",tel:+52 55 5642 7388,México - Mexico,Furniture and linen,Office filing and storage furniture
"MILENIO DIARIO, S.A. DE C.V., MILENIO",tel:+52 81 8150 5500,Monterrey - Mexico,Flatbed printing: letterpress and offset-photolithography,Printing and publishing
"COMERCIALIZADORA BABY MART, S.A. DE C.V.",tel:+52 55 5349 0284,México - Mexico,Furniture and linen,"Furniture, children's"
"BASF MEXICANA, S.A. DE C.V. (OFICINAS MONTERREY)",tel:+52 81 8156 1800,Apodaca - Mexico,Chemical products,"Pigments, synthetic"
"ARGUS, S.A. DE C.V.",tel:+52 55 5280 7439,México - Mexico,Wires and cables for telecommunications and electronics,Electronic equipment. Telecommunications equipment
"PINTURAS THERMICAS DEL NORTE, S.A. DE C.V., THERMOTEK",tel:+52 81 8335 2144,Monterrey - Mexico,Chemical products,"Asphalt, tar and bituminous products"
"COMPAÑIA MINERA LA VALENCIANA, S.A. DE C.V.",tel:+52 871 716 4299,Gómez palacio - Mexico,"Materials testing, assaying, analysing and inspection services",Research and testing
"DELPHI AUTOMOTIVE SYSTEMS, S.A. DE C.V.",tel:+52 656 629 7100,Ciudad juárez - Mexico,Rubber products,"Profiles, blocks, rollers and bearings, rubber"
"GRUPO CONSTRUCTOR PLATA, S.A. DE C.V.",tel:+52 492 922 9966,Zacatecas - Mexico,Building contractors,Building industry
"NEW GRAND CARIBE REAL CANCUN, S.A. DE C.V.",tel:+52 998 881 7300,Cancún - Mexico,"Hospitality, tourism, hotel and catering industries",Hotels and motels
"PIM MEXICO, S.A. DE C.V.",tel:+52 55 5564 6911,México - Mexico,Inorganic chemicals NES,Chemical base materials
"JOHN CRANE, S. DE R.L. DE C.V.",tel:+52 841 852 9200,San fernando - Mexico,"Rings and washers, rubber",Rubber products
"INDUSTRIAL ACEITERA, S.A. DE C.V.",tel:+52 55 5374 9905,Naucalpan - Mexico,"Oils, edible",Food
"GRUPO GONDI, S.A. DE C.V.",tel:+52 55 3003 5200,México - Mexico,Paper and board,"Packagings, paper and cardboard, for food products"
"KIMEX, S.A. DE C.V. (GRUPO KIMEX)",tel:+52 55 5366 9000,Tlalnepantla - Mexico,"Textile fibres, man-made",Textiles
"AGRICOLA PAREDES, S.A. DE C.V.",tel:+52 667 760 3560,Culiacán - Mexico,Agriculture and forestry,Pulses and legumes
"GRUPO SPORT CITY, S.A. DE C.V., SPORT CITY",tel:+52 55 5628 2800,México - Mexico,"Schools and academies, arts and performing arts",Education and training
"TURBO CONTROL, S.A. DE C.V.",tel:+52 33 3915 3600,Zapopan - Mexico,Thermometers,Measuring and testing equipment
"GRUPO VERDIN, S.A. DE C.V.",tel:+52 55 5600 8350,México - Mexico,Agriculture and forestry,Tuberous and rhizome vegetables
"VARIAN, S. DE R.L. DE C.V.",tel:+52 55 5523 9155,México - Mexico,High vacuum pumps,Engines and mechanical parts
"AERONAVES DINAMICAS DEL NORTE, S.A. DE C.V.",tel:+52 81 5000 7575,Monterrey - Mexico,"Reaction engines, aeronautical",Engines and mechanical parts
"NAITEX, S.A. DE C.V.",tel:+52 55 5426 2522,México - Mexico,Textiles,"Fabrics, coarse hair, for carpet underlay"
"ELECTROPURA, S. DE R.L. DE C.V.",tel:+52 55 5362 4003,Los reyes la paz - Mexico,Beverages,Waters
"VAN DIOR, S.A. DE C.V.",tel:+52 55 5395 5966,México - Mexico,Clothes by fabric,Clothing and footwear
"OPERADORA DE TRAJES, S.A. DE C.V.",tel:+52 55 2626 1608,Tlalnepantla - Mexico,Clothes by fabric,Clothing and footwear
"HERDEZ, S.A. DE C.V.",tel:+52 55 5201 5655,México - Mexico,Livestock and fish,"Fish, saltwater"
"SEMEX, S.A.",tel:+52 81 8128 4000,Monterrey - Mexico,Means of transport,Road safety equipment
"AGRIBRANDS PURINA MEXICO, S.A. DE C.V.",tel:+52 55 1105 7400,México - Mexico,Food,Animal feed
"FABRICACION DE MAQUINAS, S.A. DE C.V., FAMA",tel:+52 81 8865 5400,Monterrey - Mexico,Ferro-alloys,Basic metal products
"MOLECULAS FINAS DE MEXICO, S.A. DE C.V., BASICOS FEED GRADE",tel:+52 55 5539 0432,México - Mexico,Food,Milks
"ANTMAN, S.A. DE C.V., MANZUR",tel:+52 833 212 1643,Tampico - Mexico,Clothes by fabric,Clothing and footwear
"MIRAVALLES, S.A. DE C.V.",tel:+52 229 931 6388,Veracruz - Mexico,Slate,Quarried stone
"SUPER COMERCIAL GONZALEZ, S.A. DE C.V.",tel:+52 824 242 2058,Sabinas hidalgo - Mexico,Food,"Meat, poultry and game, canned and otherwise packaged"
"MULTISERVICIOS AGRICOLAS DE COMONDU, S.A. DE C.V.",tel:+52 613 132 1155,Ciudad constitución - Mexico,Chemical products,"Fertilisers, organic carbon based"
"LA VICTORIA, S.A. DE C.V.",tel:+52 664 627 6700,Tijuana - Mexico,"Lemonade, carbonated and soft drinks, non-alcoholic",Beverages
"CARBO SINT, S.A. DE C.V.",tel:+52 222 245 9910,Puebla - Mexico,"Tools, diamond and hard metal","Hardware, ironmongery, cutlery and tools"
"INDUSTRIAS SOLA BASIC, S.A. DE C.V. (ISB)",tel:+52 55 5804 2020,México - Mexico,Safety signs and warning lights,Security equipment
"GRUPO METRO ALUMINIO, S.A. DE C.V.",tel:+52 81 8372 7603,Monterrey - Mexico,Ferro-alloys,Basic metal products
"SENSA CONTROL DIGITAL, S.A. DE C.V.",tel:+52 871 716 3416,Torreón - Mexico,Telecommunication systems,Electronic equipment. Telecommunications equipment
"PHILIPS MEXICANA, S.A. DE C.V.",tel:+52 55 5269 9000,México - Mexico,Hygiene and cleaning,Oral and dental care equipment and accessories
"TELECOMUNICACIONES MODERNAS, S.A. DE C.V.",tel:+52 449 910 9069,Aguascalientes - Mexico,Combustion system component for internal combustion engine,Engines and mechanical parts
"LAVAPANT DE TEHUACAN, S.A. DE C.V.",tel:+52 238 371 2380,Tehuacán - Mexico,Textiles,Laundry services
"FABRICAS UNIDAS MARVIK, S.A. DE C.V., GRUPO MARVIK",tel:+52 774 742 0070,Zacualtipan - Mexico,Clothes for women,Clothing and footwear
"INDUSTRIAS BIOSELEC, S.A. DE C.V.",tel:+52 55 5541 3400,México - Mexico,"Health, medical and pharmaceutical",Equipment and instruments for medical laboratories
"HULES BANDA, S.A. DE C.V.",tel:+52 55 5872 2944,Cuautitlán izcalli - Mexico,Tyres and inner tubes,Rubber products
"SAMSUNG ELECTRONICS MEXICO, S.A. DE C.V.",tel:+52 55 5747 5100,Tultitlán - Mexico,Hygiene and cleaning,Vacuum cleaners
"TENSIOACTIVOS DE MEXICO, S.A. DE C.V.",tel:+52 55 5273 3080,México - Mexico,Chemical products,Chemicals for textiles
"AXALTO DE MEXICO, S.A. DE C.V.",tel:+52 55 5445 2900,México - Mexico,Security equipment,"Access control, security and surveillance systems"
"SANMAN COMPAÑIA, S.A. DE C.V.",tel:+52 476 743 6000,San francisco del rincón - Mexico,Clothing and footwear,"Footwear, sports"
"INDUSTRIAS SANDOVAL DE OCCIDENTE, S.A. DE C.V.",tel:+52 33 3540 1000,Tlaquepaque - Mexico,Plastic products for the mechanical engineering industry,Plastic products
"TERMOFORMING MEXICO ROMA, S.A. C.V.",tel:+52 55 5614 6265,México - Mexico,Wrapping machinery and equipment,"Packaging machinery, equipment and services"
