company name ,contact number,Area,product category 1,product category 2,product category 3,company description
Can Tho Department Of Justice Plc.,tel:+84 710 382 0657,Can tho city - Viet Nam,"Property development, management and sales services",Services to businesses,Real estate companies,Real Estate
"EIS Co., Ltd.",tel:+84 4 3943 9940,Hanoi - Viet Nam,Services to businesses,Thematic information and documentation services,Commercial information services,Information Services - Commercial
Phuc Hung Construction & Investment Joint Stock Co.,tel:+84 8 6293 8860,Ho chi minh city - Viet Nam,"Property development, management and sales services",Services to businesses,Real estate companies,Real Estate
"Toan Thang Co., Ltd.",tel:+84 8 3848 5871,Ho chi minh city - Viet Nam,Advertising agents,Services to businesses,"Advertising agents, electronic media",Media - Electronic
Hung Yen Industrial Zones Authrity Plc.,tel:+84 321 394 2862,Hung yen province - Viet Nam,"Property development, management and sales services",Services to businesses,Real estate companies,Real Estate
"Quynh An Co.,Ltd.",tel:+84 240 386 6392,Bac giang province - Viet Nam,"Property development, management and sales services",Services to businesses,Real estate companies,Real Estate
"Tan Dai Loi Real Estate Trading Service Co.,Ltd.",tel:+84 8 3743 7786,Ho chi minh city - Viet Nam,"Property development, management and sales services",Services to businesses,Real estate companies,Real Estate
Bac Lieu Planning And Investment Department Plc.,tel:+84 781 382 4312,Bac lieu province - Viet Nam,"Property development, management and sales services",Services to businesses,Real estate companies,Real Estate
"Son Binh Trading Co., Ltd.",tel:+84 8 3716 0623,Ho chi minh city - Viet Nam,Oil and gas drilling and exploration contractors,Civil and marine engineering contractors,"Exploration services, oil and gas",Oil - Exploration
"Xinda Co., Ltd.",tel:+84 8 3970 2216,Ho chi minh city - Viet Nam,Advertising agents,Services to businesses,"Advertising agents, electronic media",Media - Electronic
Phu My Hung-Nam Saigon Real Estate Exchange Centre Plc.,tel:+84 8 5431 4216,Ho chi minh city - Viet Nam,"Property development, management and sales services",Services to businesses,Real estate companies,Real Estate
Vietnam Television Technology Invesment & Development Co.,tel:+84 4 3636 6322,Hanoi - Viet Nam,Services to businesses,Thematic information and documentation services,Commercial information services,Information Services - Commercial
Vinh Thanh Pte Ent,tel:+84 74 385 0054,Tra vinh province - Viet Nam,"Property development, management and sales services",Services to businesses,Real estate companies,Real Estate
"An Thinh Co.,Ltd.",tel:+84 8 3830 6742,Ho chi minh city - Viet Nam,"Property development, management and sales services",Services to businesses,Real estate companies,Real Estate
Dai An Joint Stock Co.,tel:+84 320 355 5888,Hai duong province - Viet Nam,"Property development, management and sales services",Services to businesses,Real estate companies,Real Estate
"New Land Investment Co.,Ltd.",tel:+84 8 3820 5969,Ho chi minh city - Viet Nam,"Property development, management and sales services",Services to businesses,Real estate companies,Real Estate
"Viet Anh Development Invesstment Co., Ltd.",tel:+84 4 3572 0045,Hanoi - Viet Nam,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Air conditioners,Air conditioner and ventilator components...,Air Conditioning
Asia Invesment Financial Joint Stock Co.,tel:+84 73 397 4343,Tien giang province - Viet Nam,Industrial development consultants,Services to businesses,Computer integrated manufacturing (CIM) management consultants,Financial Consulting
Song Khue Design Joint Stock Co.,tel:+84 8 2243 0687,Ho chi minh city - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
SANOTC Viet Nam (Rep Office),tel:+84 8 6261 6667,Ho chi minh city - Viet Nam,Internet services,Information technology (IT) and Internet,Website development services,"Web Design, Development & Hosting"
Oanh Lap Florists Shop.,tel:+84 4 3823 4142,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Thien Van Anh Co., Ltd.",tel:+84 8 3977 0485,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Minh Tri Investment And Consulting JSC,tel:+84 8 2243 8566,Ho chi minh city - Viet Nam,Industrial development consultants,Services to businesses,Computer integrated manufacturing (CIM) management consultants,Financial Consulting
"Viet Net Co., Ltd.",tel:+84 8 3842 0809,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Son Hang Trading Co., Ltd.",tel:+84 8 3824 2357,Ho chi minh city - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
"Hoang Long Co., Ltd.",tel:+84 8 3717 5143,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Anh Tho Trading Co.,Ltd.",tel:+84 8 3991 3375,Ho chi minh city - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Kim Cuu Long Pottery Co.,Ltd",tel:+84 8 3511 5537,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Nhat Minh Joint Stock Co.,tel:+84 4 3785 3791,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Hong Anh Shop,tel:+84 8 3857 1673,Ho chi minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Khoa Hoc Trading & Production Arts-Crafts Co., Ltd",tel:+84 8 3845 6787,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Tan Thanh Shop,tel:+84 8 3875 4866,Ho chi minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Tan Hung Phat Co.,Ltd.",tel:+84 8 3855 4614,Ho chi minh city - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Bao Anh Trading Production Co.,Ltd.",tel:+84 8 3899 2591,Ho chi minh city - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
Tran Giai Thanh Incense Unit,tel:+84 8 3967 0802,Ho chi minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Manh Tuong Fine Arts Unit,tel:+84 8 3865 6383,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Viet Home Bamboo Factory,tel:+84 66 388 6682,Tay ninh province - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Hoa Lu Co., Ltd",tel:+84 4 3733 7319,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Hoang Ha Trading Co., Ltd",tel:+84 4 3856 0833,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Quoc Tuan Trading Pte Ent,tel:+84 8 3861 6729,Ho chi minh city - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
"Ngoc Ha Flower Co.,Ltd",tel:+84 4 3945 4879,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Pho 24 Corp.,tel:+84 8 3848 0807,Ho chi minh city - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
Hiep Phong Development Corp.,tel:+84 8 6293 7650,Ho chi minh city - Viet Nam,Oil and gas drilling and exploration contractors,Civil and marine engineering contractors,"Exploration services, oil and gas",Oil - Exploration
"ANC Supply Agricultural & Arts And Craffs Co., Ltd",tel:+84 4 2241 2688,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
B.V.T Trading & Manufature Joint Stock Co,tel:+84 4 3634 1732,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Hoa Binh Co., Ltd.",tel:+84 4 3766 4075,Hanoi - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
"Minh Nguyen Soft Drink Co., Ltd.",tel:+84 76 383 1010,An giang province - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
ME Technical Trading Service Joint Stock Company,tel:+84 8 5422 4880,Ho chi minh city - Viet Nam,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Air conditioners,Air conditioner and ventilator components...,Air Conditioning
Duc Toan Shop,tel:+84 77 398 0753,Kien giang province - Viet Nam,Basic metal products,Light metals and alloys,Aluminium,Aluminium
"Nguyen Thao Co., Ltd.",tel:+84 8 3850 2488,Ho chi minh city - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Emico Co., Ltd.",tel:+84 4 3554 1231,Hanoi - Viet Nam,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Air conditioners,Air conditioner and ventilator components...,Air Conditioning
Nagakawa Viet Nam J.V Co.,tel:+84 211 387 3568,Vinh phuc province - Viet Nam,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Air conditioners,Air conditioner and ventilator components...,Air Conditioning
"ADC Technical Development Co., Ltd.",tel:+84 4 3766 1827,Hanoi - Viet Nam,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Air conditioners,Air conditioner and ventilator components...,Air Conditioning
The Manh Pte Ent,tel:+84 61 381 8048,Dong nai province - Viet Nam,Basic metal products,Light metals and alloys,Aluminium,Aluminium
Vinaduct Joint Stock Co.,tel:+84 4 3862 6801,Hanoi - Viet Nam,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Air conditioners,Air conditioner and ventilator components...,Air Conditioning
"Thien Vuong Co., Ltd.",tel:+84 8 3873 3547,Ho chi minh city - Viet Nam,Department and chain stores,"General traders, department and retail stores",Chain stores...,Bookstore
An Thai Co. Ltd,tel:+84 4 3361 0969,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Son Thuy Vien Co., Ltd.",tel:+84 8 3812 6867,Ho chi minh city - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
New Day Flowers Shop.,tel:+84 4 3943 2991,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Y Ly Flowers Shop.,tel:+84 4 3747 2304,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Vinalink Media JSC,tel:+84 4 3972 6747,Hanoi - Viet Nam,Internet services,Information technology (IT) and Internet,Website development services,Internet Media
"Khanh Dat Co., Ltd.",tel:+84 8 2240 0860,Ho chi minh city - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
Viet Thanh Unit,tel:+84 8 3961 6326,Ho chi minh city - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Huong Nga Art Co., Ltd",tel:+84 8 3899 2028,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"SX Nhut Duong Co., Ltd.",tel:+84 8 3765 1431,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Friendship Flower Shop,tel:+84 8 3842 2533,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Minh Thanh Pte Ent,tel:+84 8 3894 9556,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Loc Thien An Co., Ltd.",tel:+84 8 3825 3579,Ho chi minh city - Viet Nam,"Property development, management and sales services",Services to businesses,Real estate companies,Real Estate
Nha Ca Design Co. ltd,tel:+84 8 3838 5580,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Black Moon Shop,tel:+84 8 3997 5021,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
82 Shop,tel:+84 8 3829 4056,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Duc Loc Shop,tel:+84 8 3895 5894,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Loft Shop,tel:+84 8 3821 4061,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Lora Flower & Gift Shop,tel:+84 8 3997 5520,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Truc Phuong Joint Stock Co.,tel:+84 8 3853 5657,Ho chi minh city - Viet Nam,"Property development, management and sales services",Services to businesses,Real estate companies,Real Estate
Kim Phong Center,tel:+84 8 3888 0469,Ho chi minh city - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Dem Trang Co., Ltd.",tel:+84 8 3925 5220,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Micky Shop,tel:+84 8 3811 8292,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Ho Tay Trading Production Co., Ltd.",tel:+84 8 3771 4281,Ho chi minh city - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Minh Tung Co. Ltd,tel:+84 8 3862 0230,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Phi Van Art Gallery Pte Ent,tel:+84 8 3843 0204,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Tang Tien Co., Ltd.",tel:+84 8 3845 0189,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Kien Chau Co.,Ltd.",tel:+84 8 3943 3834,Ho chi minh city - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"An Ky Computer Trading & Service Co., Ltd.",tel:+84 8 5403 6237,Ho chi minh city - Viet Nam,Internet services,Information technology (IT) and Internet,Website development services,"Web Design, Development & Hosting"
"Thien Phuc Trade Service Transport Co., Ltd.",tel:+84 8 3775 0184,Ho chi minh city - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Trieu Tam Co. Ltd,tel:+84 8 3917 9866,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Binh Chanh Co., Ltd.",tel:+84 8 3960 6779,Ho chi minh city - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
Binh Xuyen Pte Ent,tel:+84 8 3850 2986,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Vico Communication & Software Co., Ltd.",tel:+84 4 6292 0319,Hanoi - Viet Nam,Internet services,Information technology (IT) and Internet,Website development services,"Web Design, Development & Hosting"
Hua Anh Ky Unit,tel:+84 8 3865 8094,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Tan Dat Trading Service Co. Ltd,tel:+84 8 6293 7463,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Hoan Toan Centre,tel:+84 8 3913 8820,Ho chi minh city - Viet Nam,Advertising agents,Services to businesses,"Advertising agents, electronic media",Media - Electronic
"Phan Dat Trading Service Co., Ltd",tel:+84 8 3824 5641,Ho chi minh city - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Du Vy Trading Service Co., Ltd.",tel:+84 8 3923 8936,Ho chi minh city - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Dai Vinh Thanh Co., Ltd.",tel:+84 8 3961 9113,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Tin Thanh ProductionTrading Service Co., Ltd.",tel:+84 8 3917 2949,Ho chi minh city - Viet Nam,Advertising agents,Services to businesses,"Advertising agents, electronic media",Media - Electronic
Dai An Tea Shop,tel:+84 8 3858 0468,Ho chi minh city - Viet Nam,Agriculture and forestry,Cereals and pseudo cereals,Treatment services for agricultural products...,Cereals & Cereal Milling
Bich Van Tea Shop,tel:+84 8 3853 6872,Ho chi minh city - Viet Nam,Agriculture and forestry,Cereals and pseudo cereals,Treatment services for agricultural products...,Cereals & Cereal Milling
Duc Hung Shop,tel:+84 8 3876 2326,Ho chi minh city - Viet Nam,Agriculture and forestry,Cereals and pseudo cereals,Treatment services for agricultural products...,Cereals & Cereal Milling
Hong Tham Shop,tel:+84 8 3990 7244,Ho chi minh city - Viet Nam,Agriculture and forestry,Cereals and pseudo cereals,Treatment services for agricultural products...,Cereals & Cereal Milling
CDN Joint Stock Co.,tel:+84 4 3628 3650,Hanoi - Viet Nam,Internet services,Information technology (IT) and Internet,Website development services,"Web Design, Development & Hosting"
"Phuoc Thanh Hai Co.,Ltd.",tel:+84 8 3847 4191,Ho chi minh city - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Online Solution Co.,Ltd",tel:+84 4 3942 6896,Hanoi - Viet Nam,Internet services,Information technology (IT) and Internet,Website development services,"Web Design, Development & Hosting"
"Ca Thy Trading Services Co., Ltd.",tel:+84 8 3912 0414,Ho chi minh city - Viet Nam,"Air transport services, passenger and freight",Transportation and logistics services,Airline companies,Airlines
"Vu Viet Hoa Construction Production Trading Service Co., Ltd.",tel:+84 8 3865 9767,Ho chi minh city - Viet Nam,Oil and gas drilling and exploration contractors,Civil and marine engineering contractors,"Exploration services, oil and gas",Oil - Exploration
"Kim Cuong Product Construction & Trading Co., Ltd.",tel:+84 8 6294 4082,Ho chi minh city - Viet Nam,Basic metal products,Light metals and alloys,Aluminium,Aluminium
"Tin Hao Production Trading Service Co., Ltd.",tel:+84 8 3962 5428,Ho chi minh city - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
Minh Phuc Trading Service Gifts Co. Ltd,tel:+84 8 2216 5436,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Vy Anh Shop,tel:+84 8 3835 5180,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Hong Ha Shop,tel:+84 8 3750 8742,Ho chi minh city - Viet Nam,Agriculture and forestry,Cereals and pseudo cereals,Treatment services for agricultural products...,Cereals & Cereal Milling
"Dai Minh Phuong Co., Ltd",tel:+84 8 3853 9981,Ho chi minh city - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"ESC Co., Ltd.",tel:+84 8 6294 4808,Ho chi minh city - Viet Nam,Internet services,Information technology (IT) and Internet,Website development services,"Web Design, Development & Hosting"
Dai Phat Thinh Shop,tel:+84 8 3833 7296,Ho chi minh city - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Ngu Long Pte Ent,tel:+84 8 3747 0255,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Clover Shop,tel:+84 8 5410 1156,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Duc Viet Pte Ent,tel:+84 8 3844 0783,Ho chi minh city - Viet Nam,Ecology and environmental consultants NES,"Environmental services, renewable energies",Environmental impact assessment consultants...,Environment Technology & Consulting
Monday Joint-Stock Co,tel:+84 8 2243 8172,Ho chi minh city - Viet Nam,Public relations (PR) consultants and services,Services to businesses,Public relations (PR) consultants,Public Relations
Thai Binh Weaving & Dyeing Enterprise Joint Stock Co.,tel:+84 36 383 1309,Thai binh province - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"A & N Trading Production Co.,Ltd",tel:+84 8 3910 3770,Ho chi minh city - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Phu Ngoc Export Bamboo Co.,Ltd.",tel:+84 4 3378 8153,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Kim Ngan Ha Co., Ltd.",tel:+84 4 3974 4029,Hanoi - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Tuan Thuan Thien Production-Trading Service Co. Ltd,tel:+84 8 3752 2233,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Nhat Khoi Co. Ltd,tel:+84 8 3510 1250,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Intercontinental Co., Ltd.",tel:+84 8 3854 8464,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Hong Thuy Co.,Ltd.",tel:+84 8 3848 7475,Ho chi minh city - Viet Nam,Public relations (PR) consultants and services,Services to businesses,Public relations (PR) consultants,Public Relations
Viet Anh J.V Co. Ltd,tel:+84 8 6295 4581,Ho chi minh city - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
Lac Hong Informatic Service Investment Joint Stock Co.,tel:+84 8 3929 0845,Ho chi minh city - Viet Nam,Industrial development consultants,Services to businesses,Computer integrated manufacturing (CIM) management consultants,Financial Consulting
"Qui Development Co.,Ltd.",tel:+84 8 3588 0228,Ho chi minh city - Viet Nam,Industrial development consultants,Services to businesses,Computer integrated manufacturing (CIM) management consultants,Financial Consulting
Nam Phong Pte Ent,tel:+84 74 386 2707,Tra vinh province - Viet Nam,Agriculture and forestry,Cereals and pseudo cereals,Treatment services for agricultural products...,Cereals & Cereal Milling
Gia Dinh Development Investment Joint Stock Co.,tel:+84 8 6290 9688,Ho chi minh city - Viet Nam,Industrial development consultants,Services to businesses,Computer integrated manufacturing (CIM) management consultants,Financial Consulting
"Tung Bach Nhat Co., Ltd.",tel:+84 8 3517 1148,Ho chi minh city - Viet Nam,Oil and gas drilling and exploration contractors,Civil and marine engineering contractors,"Exploration services, oil and gas",Oil - Exploration
Dai Hung Vuong Trading Service Co. Ltd,tel:+84 8 3885 3808,Ho chi minh city - Viet Nam,"Property development, management and sales services",Services to businesses,Real estate companies,Real Estate
"Toan Thang Co., Ltd.",tel:+84 8 3512 8879,Ho chi minh city - Viet Nam,Oil and gas drilling and exploration contractors,Civil and marine engineering contractors,"Exploration services, oil and gas",Oil - Exploration
Chia Lin Vietnam Co. Ltd,tel:+84 8 3790 3694,Ho chi minh city - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Information & Controlling Technical Co., Ltd.",tel:+84 31 650 8308,Hai phong city - Viet Nam,Department and chain stores,"General traders, department and retail stores",Chain stores...,Bookstore
Thuy Ta Joint Stock co.,tel:+84 4 3971 5253,Hanoi - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
"Nhat Viet Production Trading Co., Ltd.",tel:+84 8 3924 0522,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Thach Anh Nguyen Vy Unit,tel:+84 8 3821 3723,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Sang Viet Production Trading Service Co., Ltd.",tel:+84 8 3868 2871,Ho chi minh city - Viet Nam,Advertising agents,Services to businesses,"Advertising agents, electronic media",Media - Electronic
Tuan Huong Unit,tel:+84 8 3894 7615,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Vietport Co. Ltd,tel:+84 4 3776 2182,Hanoi - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
The Nguyen Co. Ltd,tel:+84 8 3844 7232,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Sun Viet Telecommunications-Informatics Technology Development JSC,tel:+84 8 3517 8460,Ho chi minh city - Viet Nam,Internet services,Information technology (IT) and Internet,Website development services,Internet Media
Hoa Hoa Pte Ent,tel:+84 56 389 3695,Binh dinh province - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
Quy Gia Bao Pte Ent,tel:+84 56 381 4072,Binh dinh province - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
Tam Giao Pte Ent,tel:+84 56 352 3024,Binh dinh province - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
"Tay Son Co., Ltd",tel:+84 8 3932 5708,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Hai Phong Textile Factory,tel:+84 31 383 5373,Hai phong city - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
Phuong Loan Pte Ent,tel:+84 56 383 5315,Binh dinh province - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
Van Thanh Pte Ent,tel:+84 56 383 3212,Binh dinh province - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
Hoang Thao Pte Ent,tel:+84 56 352 4817,Binh dinh province - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
