company name,contact number,area,product category 1,product category 2,product category 3,company description
El-Motaheda for Laser,+20 10 11188722,العاشرمن رمضان.الشرقيه,Lasers,"Optical, photographic and cinematographic equipment","Lasers, continuous wave (CW)...","Lasers, continuous wave (CW)...Importing & trading of laser equipment for agricultural land clearance, Surveying instruments & modern agriculture machinery. Legal form: Individual Ent. Legal Sector:Private"
El-Horriya Tech for Packaging & Wrapping Machines & Production lines Manufacturing,"+20 55 4484164, 010-18420087",العاشرمن رمضان.الشرقيه,"Packaging machinery, equipment and services","Packaging machinery for liquids, pastes, viscous and semi-solid products","Packaging lines, complete, for liquids, pastes and semi-solids...","Packaging lines, complete, for liquids, pastes and semi-solids...Manufacturing of packaging & wrapping machines, in addition to manufacturing & importing of complete production lines. Legal form: Partnership Legal Sector:Private"
"Int'l Printing & Packaging, I.P.P","+20 55 4413118, 055-4413164, 055-4413165, 055-4413166",العاشرمن رمضان.الشرقيه,Wrapping paper and paper packaging materials,Paper and board,"Paper, wrapping, plain...","Paper, wrapping, plain..."
Household Cleaning Products of Egypt,"+20 55 4498399, 055-4498459, 055-4498454, 055-4498329",العاشرمن رمضان.الشرقيه,Hygiene and cleaning,Cleaning products and detergents,"Detergents, liquid...","Detergents, liquid..."
PET for Packaging Materials,"+20 55 4410961, 055-4410963, 055-4410964",العاشرمن رمضان.الشرقيه,Plastic packagings,Plastic products,"Unit retailing packs, transparent plastic...","Unit retailing packs, transparent plastic...Manufacturing of wide array of PET containers & merchandise used for packaging food, deserts, vegetables & fruits in addition to plastic cups for water & juice. CAPITAL PAID:- 100000000 EGP Legal form: Joint Stock Legal Sector:Private"
Smart Group for Detergents & Chemicals Export & Import,"+20 55 4363040, 010-19403777, 010-20731603",العاشرمن رمضان.الشرقيه,Hygiene and cleaning,Cleaning products and detergents,"Detergents, liquid...","Detergents, liquid...Producing household cleaning products [liquid detergents] for clothes, floors..etc. CAPITAL PAID:- 17800000 EGP Legal form: Ltd. Partnership Legal Sector:Private"
"El-Masreya for Processing, Manufacturing, Import & Export of Fish","+20 55 4498551, 055-4498529, 010-6674501",العاشرمن رمضان.الشرقيه,"Food products, chilled, fresh and ultra-fresh",Food,"Fish, freshwater, fresh, processed...","Fish, freshwater, fresh, processed...Processing, packaging & freezing of fresh fish. CAPITAL PAID:- 30000 EGP COMM.REGISTRY NO.:- 6704 TAX CARD NO.:- 645-082-392 Legal form: Individual Ent. Legal Sector:Private"
Aly Esmat Ashour & Co.,+20 55 4413197,العاشرمن رمضان.الشرقيه,Coated and laminated paper and board,Paper and board,"Paper, coated, for photocopiers...","Paper, coated, for photocopiers...Converting, cutting & importing of paper CAPITAL PAID:- 300000 EGP TOTAL ASSETS:- 12749627 EGP COMM.REGISTRY NO.:- 4570 Cairo TAX CARD NO.:- 210-618-175 Legal form: Ltd. Partnership Legal Sector:Private"
Egypt Green for Import & Export,"+20 55 3405778, 012-3175372",الزقازيق.الشرقيه,Agriculture and forestry,Cereals and pseudo cereals,Rice...,"Rice...Trader, exporter & exporter of agricultural produce. Legal form: Ltd. Partnership Legal Sector:Private"
Taysser for Industrial & Commercial Investment,"+20 55 2302555, 012-4064863",الزقازيق.الشرقيه,"Health, medical and pharmaceutical",Medical equipment and instruments,Surgical equipment and instruments...,Surgical equipment and instruments...
Egyptian for Agricultural Seeds & Pesticides-El-Sayed Ibrahim El-Husseiny,"+20 10 1529772, 010-2004935, 010-1320059, 010-2004936",منيا القمح.الشرقيه,Agriculture and forestry,Root vegetables,Carrots...,Carrots...Producer & exporter of all kinds of vegetables[fresh & frozen] & Egyptian agricultural crops. Importer & distributor of agricultural herbicides. Agricultural consultancies . Legal form: Individual Ent. Legal Sector:Private
Adawy Establishment for Imp. Exp. & Commercial Agents,"+20 55 3978555, 055-3978777, 055-3977858, 010-2105142",فاقوس.الشرقيه,Means of transport,Motor vehicle body spare parts,Wholesale trade...,"Wholesale trade...Importer & distributor of automotive' spare parts for Peugeot, Scania & Mercedes & tyres. CAPITAL ISSUED:- 1000000 EGP CAPITAL AUTHORIZED:- 10000000 EGP COMM.REGISTRY NO.:- 3258 Zagazig Legal form: Joint Stock Legal Sector:Private Law 159"
Samahco Trading & Marketing,"+20 55 2283268, 055-2290487, 012-3242966, 012-2287969",الزقازيق.الشرقيه,Flatbed printing: letterpress and offset-photolithography,Printing and publishing,"Printing services, posters...","Printing services, posters...Printing of traffic signs, indoor & outdoor printings. Importer of motor vehicle accessories. Legal form: Ltd. Partnership Legal Sector:Private"
Egyptian Chemicals,"+20 55 4410885, 010-68807352",العاشرمن رمضان.الشرقيه,Chemical products,Chemicals for building materials,Concrete and mortar accelerators/hardeners...,Concrete and mortar accelerators/hardeners...
Sunny Wood Office Furniture,+20 55 4501065,العاشرمن رمضان.الشرقيه,Furniture and linen,"Furniture, kitchen, domestic","Furniture, kitchen, domestic, wooden...","Furniture, kitchen, domestic, wooden...Manufacturer & exporter of wooden office & kitchen furniture. Legal form: Individual Ent. Legal Sector:Private"
Misr Int'l for Plastic Industries,"+20 55 4412227, 055-4412224, 055-4412228, 055-4412598, 055-4412698, 055-4412699, 055-4412215, 055-4412241, 012-22580545",العاشرمن رمضان.الشرقيه,"Bottles and packaging tubes, plastic",Plastic products,"Bottles, plastic, multi-layer...","Bottles, plastic, multi-layer..."
Farag Textile,"+20 55 4412544, 012-23900022, 012-6305463, 055-4412545, 055-4412546, 055-4412547",العاشرمن رمضان.الشرقيه,Textiles,"Fabrics, man-made fibres","Fabrics, polyester...","Fabrics, polyester..."
Green Valley for Reclamation & Agricultural,"+20 55 3202290, 055-3202291",الصالحيه.الشرقيه,Agriculture and forestry,Oilseed plants and crops,Peanuts/groundnuts...,Peanuts/groundnuts...
Oryx Land for Food Industries,"+20 55 4501160, 055-4498013, 055-4501161, 012-22443408, 012-23117112",العاشرمن رمضان.الشرقيه,Cheese,Food,"Cheese, fresh...","Cheese, fresh...Producer & exporter of juices, cheese & tomatoes sauces. Importing of production requisites. CAPITAL PAID:- 1250000 EGP CAPITAL ISSUED:- 10000000 EGP CAPITAL AUTHORIZED:- 10000000 EGP Legal form: Joint Stock Legal Sector:Private"
Medical Packaging,"+20 15 501377, 010-6269970",الشرقيه.الشرقيه,"Health, medical and pharmaceutical",Medical glassware,"Ampoules, glass, for pharmaceutical use","Ampoules, glass, for pharmaceutical use"
Mohsen Amer & Partners,"+20 55 4500241, 055-4500248, 055-4501165",العاشرمن رمضان.الشرقيه,Textiles,Finishing services for fabrics and textile goods,Sponging services for fabrics...,Sponging services for fabrics...
Naga Plast,"+20 55 4411394, 010-8300007",العاشرمن رمضان.الشرقيه,"Pipes, tubes, ducts and hoses, plastic",Plastic products,"Pipes and tubes, acrylic...","Pipes and tubes, acrylic...Manufacturer of PVC, PP pipes & tubes Importer & distributor of PVC products. CAPITAL PAID:- 500000 EGP TOTAL ASSETS:- 16000000 EGP COMM.REGISTRY NO.:- 527 Ismailia Legal form: Partnership Legal Sector:Private"
Synthomer Egypt,"+20 55 4499260, 055-4499282, 055-4499266, 011-11555011",العاشرمن رمضان.الشرقيه,Chemical products,Chemicals for textiles,"Gumming agents, textile industry...","Gumming agents, textile industry..."
"Ceramica Fancy for Ceramic, Porcelain & Sanitary Ware Industry","+20 55 4411055, 055-4410674, 055-4410673",العاشرمن رمضان.الشرقيه,Kitchen sinks,Furniture and linen,"Sinks and washbasins, earthenware...","Sinks and washbasins, earthenware..."
El-Watnya foe Import & Commercial Agencies,+20 55 2260027,الزقازيق.الشرقيه,"Timber, wooden products, machinery and equipment for the woodworking industry",Woodworking tools,"Hardware, ironmongery, cutlery and tools...","Hardware, ironmongery, cutlery and tools..."
"Pyramids Agro Industries, PAI","+20 55 3294333, 055-3294111, 055-3294222, 012-8447712",ابوحماد.الشرقيه,Agriculture and forestry,Citrus fruits,Oranges...,Oranges...Food producer. Specialized citrus packing house & exporter of citrus[oranges]. CAPITAL PAID:- 12600000 EGP COMM.REGISTRY NO.:- 98771 Sharkeya Journal Issue No.:- 1249 Legal form: Ltd. Partnership Legal Sector:Private Inv. Law
Al-Fayhaa Group Industries,"+20 55 4412461, 055-4412463, 055-4412464, 055-4412465",العاشرمن رمضان.الشرقيه,Textiles,"Yarns and twists, man-made fibres","Yarns, man-made fibre, air intermingled...","Yarns, man-made fibre, air intermingled..."
Modern Egyptian for Adhesives,+20 55 4500348,العاشرمن رمضان.الشرقيه,Chemical products,"Adhesives, synthetic","Adhesives, synthetic, by use","Adhesives, synthetic, by useManufacturing of glues adhesives mainly serving footwear. CAPITAL PAID:- 200000 EGP Legal form: Ltd. Partnership Legal Sector:Private"
Vita Polymers,+20 55 4410420,العاشرمن رمضان.الشرقيه,Chemical products,Chemicals and auxiliaries for rubber and plastics,Accelerators for plastics...,"Accelerators for plastics...Manufacturing of intermediate products for plastics, rubber, foam, PVC & filters, carpets ..etc industries. COMM.REGISTRY NO.:- 49833 Legal form: Joint Stock Legal Sector:Private"
El-Motaheda for Plastic Industries,+20 14 7666282,الصالحيه.الشرقيه,"Pipes, tubes, ducts and hoses, plastic",Plastic products,"Pipes and tubes, polyethylene (PE)...","Pipes and tubes, polyethylene (PE)..."
El-Ghazzawy-Adel Hassan Mohamed El-Ghazzawy & Co.,+20 55 2324134,الزقازيق.الشرقيه,Televisions,Electronic equipment. Telecommunications equipment,Digital recorders...,Digital recorders...
Delta for Paper Converting,+20 10 1464167,العاشرمن رمضان.الشرقيه,Paper and board,"Paper and board, graphic design use, for printing","Paper and board, graphic design use, for drawing and writing...","Paper and board, graphic design use, for drawing and writing...Converting of paper. CAPITAL PAID:- 1000000 EGP COMM.REGISTRY NO.:- 3537 TAX CARD NO.:- 454-641-656 Legal form: Individual Ent. Legal Sector:Private"
Egyptian for Engineering Works,+20 10 8501058,الزقازيق.الشرقيه,Metal constructions for the building industry,"Doors, metal","Doors, metal, automatic...","Doors, metal, automatic...Supplying, installing & contracting for elevators, tracking devices, security gates, surveillance cameras, air conditions , water desalination devices. Legal form: Individual Ent. Legal Sector:Private"
New Al-Rimontex-Michael Mandouh Amin,+20 12 23218446,العاشرمن رمضان.الشرقيه,Textiles,"Fabrics, cotton, for soft furnishings and upholstery","Fabrics, cotton, baize, for soft furnishings and upholstery...","Fabrics, cotton, baize, for soft furnishings and upholstery...Manufacturing of fabrics used in furnishings. CAPITAL PAID:- 1000000 EGP COMM.REGISTRY NO.:- 1684 Legal form: Individual Ent. Legal Sector:Private"
"Al-Aksa for Import, Export & Commercial Agencies","+20 55 3418312, 010-25933360, 012-68345983",ابوحماد.الشرقيه,Agriculture and forestry,Root vegetables,Tuberous and rhizome vegetables...,"Tuberous and rhizome vegetables...Importer, exporter & agent for agriculture crops, peanut, lima bean, corchorus, grape & marjoram. CAPITAL PAID:- 20000 EGP TOTAL ASSETS:- 1687396 EGP COMM.REGISTRY NO.:- 3285 Legal form: Individual Ent. Legal Sector:Private"
"Advanced Chemical Processing, ACP",+20 55 4498290,العاشرمن رمضان.الشرقيه,Chemical products,"Fertilisers, organic carbon based","Fertilisers, meat meal...","Fertilisers, meat meal...Manufactures dyes & chemicals for textile finishing. CAPITAL PAID:- 5000000 EGP TOTAL ASSETS:- 9160242 EGP COMM.REGISTRY NO.:- 1889 10th of Ramadan Legal form: Ltd. Liability Legal Sector:Private"
Energya Power Cables-El-Sewedy,"+20 55 4410414, 012-23999591",العاشرمن رمضان.الشرقيه,"Bars and rods, plastic",Plastic products,"Rods, polypropylene (PP)...","Rods, polypropylene (PP)..."
"Inter Pharma Egypt, IPC","+20 55 2325801, 055-2325802, 055-2325808, 010-6660607",الزقازيق.الشرقيه,Food,Animal feed,"Health, medical and pharmaceutical...","Health, medical and pharmaceutical...Agent, importer & distributor of veterinary pharmaceuticals & feed additives CAPITAL PAID:- 1050000 EGP TOTAL ASSETS:- 8723842 EGP COMM.REGISTRY NO.:- 117511 Zagazig TAX CARD NO.:- 527-958-417 Legal form: Individual Ent. Legal Sector:Private"
National for Industrialization-H.N.S Group-Middle East,+20 55 4410285,العاشرمن رمضان.الشرقيه,Plastic products,"Plastic products for the chemical, pharmaceutical and cosmetic industries","Containers, plastic, for the chemical industry...","Containers, plastic, for the chemical industry..."
Texti Industrial & Trading,"+20 55 4413147, 055-4413148",العاشرمن رمضان.الشرقيه,Printing equipment. Office and shop equipment,Rotary printing presses,"Printing presses, newspaper...","Printing presses, newspaper..."
Andalus for Carton Packing & Printing,"+20 55 2642501, 055-2642502, 055-2642503, 012-6174104",بلبيس.الشرقيه,Cardboard boxes,Paper and board,"Boxes, cardboard or paperboard, folding...","Boxes, cardboard or paperboard, folding..."
Metal Exchange for Trading,+20 55 4361995,العاشرمن رمضان.الشرقيه,"Ores, heavy metal",Ores and minerals,Copper ores and minerals...,"Copper ores and minerals...Importer of raw materials[steel, copper, aluminum]. CAPITAL PAID:- 480000 EGP Legal form: Ltd. Partnership Legal Sector:Private"
Promotrade Int'l Ltd.,"+20 55 4490073, 055-4490074, 012-22117205",العاشرمن رمضان.الشرقيه,Chemical products,"Chemicals for paint, lacquer and varnish making",Isopropylates for paints...,"Isopropylates for paints...Wholesaler of chemicals for pharmaceutical, cosmetics, paint & inks industries. CAPITAL PAID:- 900000 EGP CAPITAL AUTHORIZED:- 600000 EGP COMM.REGISTRY NO.:- 1050 TAX CARD NO.:- 207-452-032 Legal form: Ltd. Liability Legal Sector:Private"
Sweden for Printing & Paper Converting,+20 55 4413197,العاشرمن رمضان.الشرقيه,Paper and board,Cardboard,Corrugated paper and board...,Corrugated paper and board...Manufacturer of all kinds of papers. CAPITAL PAID:- 2900000 EGP TOTAL ASSETS:- 5391598 EGP COMM.REGISTRY NO.:- 1047 10th Of Ramadan TAX CARD NO.:- 207-443-440 Legal form: Ltd. Partnership Legal Sector:Private
Arab Medical Equipments,"+20 55 4410022, 055-4410023, 055-4410024, 010-1140509, 010-5360397",العاشرمن رمضان.الشرقيه,Rubber products,"Moulded parts, rubber","Mouldings, silicone rubber, for medical applications...","Mouldings, silicone rubber, for medical applications..."
Hesni Textile,"+20 55 4498290, 055-4498315, 055-4498199, 055-4498247, 010-1703783",العاشرمن رمضان.الشرقيه,Textiles,Dyeing services for textile fibres and yarns,Dyeing services for natural fibres...,Dyeing services for natural fibres...
The National for Manufacturing Aluminium Tubes,"+20 55 4501266, 055-4360868, 055-4498481, 012-27680999",العاشرمن رمضان.الشرقيه,Tyres and inner tubes,Rubber products,"Tyres, radial ply...","Tyres, radial ply..."
Al-Fagr for Plastic Pipes Industry,"+20 55 4387620, 055-4378550, 010-65538845, 010-65538846",العاشرمن رمضان.الشرقيه,"Pipes, tubes, ducts and hoses, plastic",Plastic products,"Pipes and tubes, high density polyethylene (HDPE)...","Pipes and tubes, high density polyethylene (HDPE)...Manufacturer of plastic pipes UPVe & HDPE. CAPITAL PAID:- 30000000 EGP CAPITAL ISSUED:- 100000000 EGP CAPITAL AUTHORIZED:- 100000000 EGP TOTAL ASSETS:- 76400100 EGP Legal form: Joint Stock Legal Sector:Private"
Egyptian for Plastic Industry,"+20 55 4411631, 055-4411627, 055-4411628, 055-4412651, 010-6660950",العاشرمن رمضان.الشرقيه,"Powders and granules, plastic",Plastic products,Plastic foams...,Plastic foams...
Egyptian for Food Industries & Cooling,"+20 55 2900088, 055-2900087, 055-2900598, 055-2901331",بلبيس.الشرقيه,Food,"Fish, smoked","Herring, smoked...","Herring, smoked...Manufacturer, exporter of frozen fish[herring]. Legal form: Individual Ent. Legal Sector:Private"
Global Packing & Packaging,"+20 55 4411802, 010-64445549",العاشرمن رمضان.الشرقيه,Paper and board,Cardboard packagings,"Cartons, cardboard or paperboard...","Cartons, cardboard or paperboard...Manufacturer of carton packing & packaging good & importer of carton. CAPITAL PAID:- 500000 EGP COMM.REGISTRY NO.:- 5637 10th of Ramadan Legal form: Ltd. Partnership Legal Sector:Private"
Siro Advanced,"+20 55 4500021 4 Lines, 055-4500022, 055-4500025",العاشرمن رمضان.الشرقيه,"Timber, wooden products, machinery and equipment for the woodworking industry",Wood trims,"Mouldings, wooden, metal covered...","Mouldings, wooden, metal covered..."
Saiver Egypt Engineering Industries,"+20 55 4412225, 055-4412226, 012-27919507",العاشرمن رمضان.الشرقيه,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Air conditioners,"Air conditioners, central station","Air conditioners, central station"
Happy Pack Cardboard-Mohamed Osman Ahmed Heram & co.,"+20 55 3202445, 055-3202444, 012-3214166",الصالحيه.الشرقيه,Paper and board,Cardboard packagings by use,"Boxes, cardboard, for wine bottles...","Boxes, cardboard, for wine bottles...Manufacturer of corrugated cardboard boxes for packaging. CAPITAL PAID:- 5000000 EGP COMM.REGISTRY NO.:- 93976 Legal form: Partnership Legal Sector:Private"
Koddous Textile-Sameh Koddous Abd El-Shahid Gadallah & Partners,"+20 55 4411127, 012-22141117, 010-2141117",العاشرمن رمضان.الشرقيه,Textiles,"Embroidery, machine-made","Embroidery, machine-made, broderie anglaise...","Embroidery, machine-made, broderie anglaise...Manufacturer of cotton fabrics for furnishings. CAPITAL PAID:- 2000000 EGP Legal form: Partnership Legal Sector:Private"
"Elkomy Import, Export & Commercial Agencies","+20 55 4367332, 012-23442528",العاشرمن رمضان.الشرقيه,Chemical products,Mineral oils,"Lubricating oils, mineral, for gears...","Lubricating oils, mineral, for gears...Importer & distributor of ball bearings & greases. Commercial agent for thermal greases used in motor vehicles & machines. Legal form: Ltd. Partnership Legal Sector:Private"
Helal & Diamond Star,"+20 55 4411800, 055-4412802, 055-4411804, 010-6608917, 010-5430608, 010-6689171, 010-5401366, 010-6697717",العاشرمن رمضان.الشرقيه,Plastic packagings,Plastic products,"Packagings, polyamide/nylon...","Packagings, polyamide/nylon..."
Rizk Brothers Refrigeration Gas & Equipment,"+20 55 3200972, 012-23909501",الصالحيه.الشرقيه,Compressed and liquefied gases. Chemicals for refrigeration,Chemical base materials,Refrigerating gases...,Refrigerating gases...Importer & exporter of refrigerating gases for refrigerators & air conditions. Packaging of Freon Gas. CAPITAL PAID:- 500000 EGP CAPITAL AUTHORIZED:- 250000 EGP COMM.REGISTRY NO.:- 72237 Zagazig Legal form: Partnership Legal Sector:Private
Int'l for Modern Engineering Industries,"+20 55 4501328, 012-22180372",العاشرمن رمضان.الشرقيه,Hygiene and cleaning,Vacuum cleaners,"Vacuum cleaners, electric, domestic...","Vacuum cleaners, electric, domestic...Manufacturer of domestic appliance [heaters, vacuum & T.V] CAPITAL PAID:- 20000000 EGP Journal Issue No.:- 1070 Legal form: Joint Stock Legal Sector:Private"
Sharkeya Agriculture & Industrial Development,"+20 12 3185920, 012-2118675, 012-3100303, 010-5530006, 055-2880535, 055-2880399",بلبيس.الشرقيه,Food,Animal feed,Animal feed supplements...,Animal feed supplements...
Middle East Media Production,+20 55 4500321,العاشرمن رمضان.الشرقيه,Information technology (IT) and Internet,Data storage devices for computing,CD-ROM drives-burners,CD-ROM drives-burnersManufacturer & replicator of computer CDs & diskettes[Silk Screen]. CAPITAL PAID:- 100000 EGP Legal form: Joint Stock Legal Sector:Private
Italsamia-El-Sewedy for Explosion Proof,"+20 55 4411141, 010-5091716",العاشرمن رمضان.الشرقيه,Mechanical assembly contractors,Industrial subcontractors,Assembly services for the aircraft industry,Assembly services for the aircraft industry
Bel Egypt Expansion for Cheese Production,+20 55 4498398,العاشرمن رمضان.الشرقيه,Cheese,Food,"Cheese, fresh...","Cheese, fresh..."
Egyptian for Advanced Industries,"+20 55 4411141, 010-9995207",العاشرمن رمضان.الشرقيه,Electrical equipment. Nuclear equipment,Electric plugs and sockets,"Plugs and sockets, domestic...","Plugs and sockets, domestic..."
Mondial Home Appliances,"+20 55 4332054, 055-4332056",العاشرمن رمضان.الشرقيه,Refrigerators,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment","Refrigerators, electric...","Refrigerators, electric..."
Egyptian Engineering & Manufacturing,"+20 55 4492257, 010-1452352, 012-27497203",العاشرمن رمضان.الشرقيه,Electrical equipment. Nuclear equipment,Switchboards,"Distribution control desks, electric","Distribution control desks, electric"
Chemicals Partner Egypt,+20 55 4362023,العاشرمن رمضان.الشرقيه,Chemical products,"Chemicals for paint, lacquer and varnish making",Solvents and thinners for paints and varnishes...,Solvents and thinners for paints and varnishes...
Egypt Plast Pipe,"+20 55 3202700, 010-1441806",الصالحيه.الشرقيه,"Pipes, tubes, ducts and hoses, plastic",Plastic products,"Pipes and tubes, acrylic...","Pipes and tubes, acrylic...Manufacturer of plastics [plastic pipes & tubes]. Legal form: Ltd. Partnership Legal Sector:Private"
Masaied Clothing,"+20 55 4500132, 055-4500131, 055-4500081, 012-21713975",العاشرمن رمضان.الشرقيه,Clothes by fabric,Clothing and footwear,"Clothes, cotton...","Clothes, cotton..."
Egyptian Engineering for Production Lines & Equipment,"+20 55 4501151, 055-4501150, 055-4501125",العاشرمن رمضان.الشرقيه,Bakery machinery and equipment,"Food, drink, tobacco and catering industry machinery and equipment","Biscuit making plant, complete...","Biscuit making plant, complete..."
Tiba Engineering Industries-Magd El-Din Farouk Ismail El-Manzalawy & Co.,"+20 55 4501235, 055-4501236, 055-4364034, 055-4364069",العاشرمن رمضان.الشرقيه,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment","Ventilation, air conditioning (VAC) plants",Air conditioners...,Air conditioners...
Mog Engineering & Industry,"+20 55 4412211, 055-4413062, 055-4413026, 055-4413027, 010-7436353",العاشرمن رمضان.الشرقيه,Glass fibre products,"Glass, cement and ceramics","Wall cladding, glass fibre...","Wall cladding, glass fibre..."
Int'l Foreign Trade-Mohamed El-Fattayri & Co.,+20 55 4366042,العاشرمن رمضان.الشرقيه,"Bearings and pillow blocks, mechanical",Engines and mechanical parts,Ball bearings...,Ball bearings...Importer of ball bearings used for machineries. CAPITAL PAID:- 30000 EGP Legal form: Ltd. Partnership Legal Sector:Private
Duravit Egypt Sanitary Ware Manufacturing,"+20 55 4412445, 055-4412446, 055-4412447, 010-1789181",العاشرمن رمضان.الشرقيه,Kitchen sinks,Furniture and linen,"Sinks and washbasins, earthenware...","Sinks and washbasins, earthenware..."
El-Gebaly Fruit,"+20 55 3200757, 055-3200771, 055-3200772, 055-3200775, 055-3200758",الصالحيه.الشرقيه,Leaf vegetables,Agriculture and forestry,Salads...,"Salads...Importer, exporter of fruits[melon, grapes, mango & straw berry]. CAPITAL PAID:- 190000000 EGP TOTAL ASSETS:- 437000000 EGP COMM.REGISTRY NO.:- 97348 Sharkeya TAX CARD NO.:- 431-131-708 Legal form: Partnership Legal Sector:Private"
Lacto Misr for Baby Milk & Food Production,"+20 55 4411777, 055-4411776, 055-4411773, 055-4411778, 055-4411779, 010-1254400",العاشرمن رمضان.الشرقيه,Food,Milks,"Milk, dried, for babies...","Milk, dried, for babies..."
Int'l Industrial for Trailers-Bassem Nabil Youssef,"+20 55 4500322, 055-4500355, 012-83695518",العاشرمن رمضان.الشرقيه,Means of transport,Wheels and castors for vehicles,,
Misr for Trailers & Transport Means,"+20 55 2640602, 055-2640603, 010-1238789",بلبيس.الشرقيه,Means of transport,Commercial vehicles,"Trucks/lorries, light...","Trucks/lorries, light..."
Alpha for Metals,"+20 55 4410370, 055-4410371",العاشرمن رمضان.الشرقيه,"Semi-manufactured products, aluminium and its alloys",Basic metal products,Aluminium sheet...,Aluminium sheet...
"National Medical Industries, NMI","+20 55 4410289, 055-4410290, 012-24100069",العاشرمن رمضان.الشرقيه,"Health, medical and pharmaceutical",Medical equipment and instruments,Surgical equipment and instruments...,Surgical equipment and instruments...
Haus Lift,"+20 55 4413276, 055-4473276, Tel & Fax",العاشرمن رمضان.الشرقيه,Lift and elevator components and accessories,Handling and storage plant and equipment,Hydraulic components for lifts and elevators...,Hydraulic components for lifts and elevators...Manufacturer of outside frames for elevators. Supplier & installation of elevators. Importer of elevators spare parts. CAPITAL PAID:- 750000 EGP Legal form: Partnership Legal Sector:Private
ABB for Feeding Industries,"+20 55 4368793, 055-4368794, 055-4368795, 055-4499154, 055-4367106, 012-23148153",العاشرمن رمضان.الشرقيه,Electrical equipment. Nuclear equipment,Grid connecting equipment,"Cable conduits, non-industrial...","Cable conduits, non-industrial..."
Energya Specialty Cables,"+20 55 4410260, 055-4410073, 055-4411350, 055-4411366, 055-4410074, 010-1887739",العاشرمن رمضان.الشرقيه,"Electric cables, insulated",Electrical equipment. Nuclear equipment,"Cables, miniature, electric...","Cables, miniature, electric..."
"Ahram Security Group, ASG",+20 55 4410410 10 Lines,العاشرمن رمضان.الشرقيه,Metal constructions for the building industry,"Doors, metal","Doors, metal, soundproof...","Doors, metal, soundproof..."
Energya Metals,+20 55 4413296,العاشرمن رمضان.الشرقيه,"Semi-manufactured products, brass",Basic metal products,Brass ingots...,Brass ingots...Manufacturer of copper rods. CAPITAL PAID:- 52500000 EGP CAPITAL ISSUED:- 100000000 EGP CAPITAL AUTHORIZED:- 100000000 EGP COMM.REGISTRY NO.:- 18176 Legal form: Joint Stock Legal Sector:Private
Waves Acrylic-Corolous Magdy Fakhry & Co.,"+20 12 27046666, 011-6022233",العاشرمن رمضان.الشرقيه,Intimate care products for women,Hygiene and cleaning,Hygiene products for babies...,Hygiene products for babies...Manufacturing & wholesaling of acrylic bath tubs. CAPITAL PAID:- 11460000 EGP COMM.REGISTRY NO.:- 4061 Cairo TAX CARD NO.:- 220-328-846 Legal form: Ltd. Partnership Legal Sector:Private
Starco Industry for Corrugated Cardboard,+20 55 4488536,العاشرمن رمضان.الشرقيه,Paper and board,Cardboard packagings,"Containers, cardboard, cylindrical...","Containers, cardboard, cylindrical..."
El-Obour for Food Industries,"+20 11 19588835, 010-3551116",الشرقيه.الشرقيه,Agriculture and forestry,Root vegetables,Tuberous and rhizome vegetables...,Tuberous and rhizome vegetables...
El-Allamia for Plasticizers & Solvents,"+20 55 4411883, 055-4411887, 055-4411885",العاشرمن رمضان.الشرقيه,"Polyphenols, aldehydes, ketones, quinones",Octylphenol,Chemical base materials...,Chemical base materials...
"Motahedoun for Medical, Plastic Products & Cosmetics","+20 55 4354281, 055-4354282, 055-4332070, 055-4332114",العاشرمن رمضان.الشرقيه,"Health, medical and pharmaceutical",Pharmaceutical preparations for the central and autonomic nervous system and anaesthetics,"Anaesthetics, basal...","Anaesthetics, basal...Manufacturer & exporter of medical solving. CAPITAL PAID:- 750000 EGP Legal form: Joint Stock Legal Sector:Private"
Agri-Vet for Vitamins & Feed Additives Manufacturing,"+20 55 4411012, 012-22174108",العاشرمن رمضان.الشرقيه,Food,Animal feed,Cattle feeds and feed concentrates...,Cattle feeds and feed concentrates...
10th of Ramadan Factory Safty Glass-Dr.Magdy Admon Greiche & Co.,"+20 55 4410003, 055-4412200, 055-4412201, 055-4410016, 055-4410017, 055-4410004, 055-4410005, 055-4410850, 010-5460162",العاشرمن رمضان.الشرقيه,Flat glass,"Glass, cement and ceramics","Gauge glasses, flat, protective...","Gauge glasses, flat, protective..."
Int'l Factory for Paper Manufacturing-Khedr Sons,"+20 55 4411550, 012-23624047, 010-1063026, 055-4411551",العاشرمن رمضان.الشرقيه,Paper and board,"Paper and board, graphic design use, for printing","Paper, esparto...","Paper, esparto..."
Group Pyramide Egypt for Metal Industries,"+20 55 4411606, 055-4413129",العاشرمن رمضان.الشرقيه,"Sections, steel and rolled steel",Basic metal products,"Tees, rolled steel","Tees, rolled steel"
Egyptian Global Coatings,"+20 55 3203570, 055-3203580, 010-2193503, 010-3850539",الصالحيه.الشرقيه,Chemical products,Dyes by use,"Dyes, synthetic, hot, for metals...","Dyes, synthetic, hot, for metals..."
