Product Code,Product Label,"UAE export to russia Value in 2022, USD thousands","nnual growth in value between 2018-2022, %, p.a","Russia Share in United Arab Emirates's exports, %",Equivalent ad valorem tariff faced by United Arab Emirates,Quantity exported Uae to russia in 2022 ,Quantity unit ,Unit value (USD/unit) ,Number of non-tariff requirements faced by United Arab Emirates ,"russia import from world Value in 2022, USD thousand ","Annual growth in value between russia import from world 2018-2022, %, p.a. ","Share in world imports, % ",Quantity exported russia to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"uae to world export Value in 2022, USD thousand ","Annual growth in value between 2018-2022, %, p.a. ","Share in world exports, % ",Quantity exported Uae to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"Estimation of untapped potential trade, USD thousand"
731816,Nuts of iron or steel, , , ,6, , , ,98,"126,109",10,1,0,No quantity, ,"5,685",6,0,0,No quantity, ,-
731819,"Threaded articles, of iron or steel, n.e.s.", , , ,4, , , ,4,"89,406",18,2,0,No quantity, ,"3,991",2,0,0,No quantity, ,-
731821,"Spring washers and other lock washers, of iron or steel", , , ,8, , , ,18,"8,418",2,1,"2,607",Tons,"3,229",314,-12,0,367,Tons,"14,120",-
731822,Washers of iron or steel (excl. spring washers and other lock washers), , , ,5, , , ,6,"54,691",17,2,0,No quantity, ,"2,220",25,0,0,No quantity, ,-
731823,Rivets of iron or steel (excl. tubular and bifurcated rivets for particular uses), , , ,4, , , ,4,"6,914",4,1,"1,724",Tons,"4,010",122,-5,0,533,Tons,"6,672",1
731824,"Cotters and cotter pins, of iron or steel", , , ,4, , , ,4,"13,586",14,1,0,No quantity, ,582,23,0,0,No quantity, ,-
731829,"Non-threaded articles, of iron or steel", , , ,5, , , ,6,"43,763",8,1,0,No quantity, ,"2,118",-6,0,0,No quantity, ,-
731940,"Safety pins and other pins of iron or steel, n.e.s.", , , ,15, , , ,0,687,-6,0,138,Tons,"4,978",203,26,0,0,Tons, ,2
731990,"Knitting needles, bodkins, crochet hooks, embroidery stilettos and similar articles, for use . . .", , , ,13, , , ,0,"3,151",16,1,0,Tons, ,236,-4,0,0,Tons, ,1
732010,"Leaf-springs and leaves therefor, of iron or steel (excl. clock and watch springs and shock . . .", , , ,12, , , ,30,"24,842",-5,1,"10,454",No quantity,"2,376",853,-1,0,0,No quantity, ,124
732020,"Helical springs, of iron or steel (excl. flat spiral springs, clock and watch springs, springs . . .", , , ,9, , , ,187,"27,826",-18,1,"6,004",Tons,"4,635",609,3,0,0,Tons, ,19
732090,"Springs and leaves for springs, of iron or steel, incl. flat spiral springs (excl. helical . . .", , , ,12, , , ,60,"9,915",-3,1,0,Tons, ,779,-11,0,0,Tons, ,-
732111,"Appliances for baking, frying, grilling and cooking and plate warmers, for domestic use, of . . .", , , ,11, , , ,24,"90,773",4,1,0,No quantity, ,"1,281",4,0,0,No quantity, ,
732112,"Appliances for baking, frying, grilling and cooking and plate warmers, for domestic use, of . . .", , , ,15, , , ,6,397,59,0,58,Tons,"6,845",373,-17,0,0,Tons, ,1
732119,"Appliances for baking, frying, grilling and cooking and plate warmers, for domestic use, of . . .", , , ,15, , , ,6,"5,734",5,0,0,No quantity, ,147,-2,0,0,No quantity, ,
732181,"Stoves, heaters, grates, fires, wash boilers, braziers and similar appliances, of iron or steel, . . .", , , ,15, , , ,24,"3,473",15,0,617,No quantity,"5,629",47,-8,0,0,No quantity, ,
732182,"Stoves, heaters, grates, fires, wash boilers, braziers and similar appliances, of iron or steel, . . .", , , ,15, , , ,12,685,-5,0,42,Tons,"16,310",1, ,0,"1,269",Tons,"2,013",1
732189,"Stoves, heaters, grates, fires, wash boilers, braziers and similar domestic appliances, of . . .", , , ,13, , , ,6,"10,895",-3,0,"2,698",No quantity,"4,038",53,21,0,0,No quantity, ,
732190,"Parts of domestic appliances non-electrically heated of heading 7321, n.e.s.", , , ,10, , , ,11,"9,008",13,0,0,No quantity, ,159,60,0,0,No quantity, ,12
732211,"Radiators for central heating, non-electrically heated, and parts thereof, of iron or steel . . .", , , ,15, , , ,13,"10,542",41,9,"4,796",Tons,"2,198",8,-17,0,1,Tons,"20,000",25
732219,"Radiators for central heating, non-electrically heated, and parts thereof, of iron other than . . .", , , ,8, , , ,13,"61,048",-8,3,0,No quantity, ,286,36,0,88,No quantity,"6,614",6
732290,"Air heaters and hot-air distributors, incl. distributors which can also distribute fresh or . . .", , , ,6, , , ,48,"31,164",-2,1,0,No quantity, ,134,-21,0,0,No quantity, ,15
732310,"Iron or steel wool; pot scourers and scouring or polishing pads, gloves and the like, of iron . . .", , , ,15, , , ,7,"5,028",-5,2,"1,579",Tons,"3,184",277,-3,0,"1,337",Tons,"5,608",20
732391,"Table, kitchen or other household articles, and parts thereof, of cast iron, not enamelled . . .", , , ,15, , , ,7,"4,241",-9,1,"1,793",No quantity,"2,365","1,266",31,0,277,No quantity,"6,527",24
732392,"Table, kitchen or other household articles, and parts thereof, of cast iron, enamelled (excl. . . .", , , ,15, , , ,7,"2,619",-1,0,685,Tons,"3,823",615,80,0,0,Tons, ,4
732393,"Table, kitchen or other household articles, and parts thereof, of stainless steel (excl. cans, . . .", , , ,9, , , ,18,"122,466",10,1,"19,749",No quantity,"6,201","3,395",7,0,"34,386",No quantity,"6,286",450
732394,"Table, kitchen or other household articles, and parts thereof, of iron other than cast iron . . .", , , ,10, , , ,18,"8,424",-14,1,"2,474",No quantity,"3,405",204,-12,0,0,No quantity, ,30
732399,"Table, kitchen or other household articles, and parts thereof, of iron other than cast iron . . .", , , ,10, , , ,21,"58,967",1,1,"13,586",Tons,"4,340","4,601",22,0,"17,324",Tons,"5,112",326
732410,"Sinks and washbasins, of stainless steel", , , ,8, , , ,12,"23,255",9,1,"3,359",Tons,"6,923","3,450",43,0,0,Tons, ,27
732421,"Baths of cast iron, whether or not enamelled", , , ,8, , , ,6,"4,563",-23,9,0,No quantity, ,60,6,0,0,No quantity, ,
732429,Baths of steel sheet, , , ,10, , , ,6,"7,913",-12,4,"2,996",No quantity,"2,641",262,0,0,0,No quantity, ,104
732490,"Sanitary ware, incl. parts thereof (excl. cans, boxes and similar containers of heading 7310, . . .", , , ,8, , , ,36,"35,781",8,2,0,Tons, ,"7,881",8,0,0,Tons, ,165
732510,"Articles of non-malleable cast iron, n.e.s.", , , ,15, , , ,33,"50,449",19,2,"39,183",Tons,"1,288","4,204",4,0,"11,862",Tons,"2,028",69
732591,"Grinding balls and similar articles for mills, cast (excl. such articles of non-malleable cast . . .", , , ,10, , , ,6,"12,447",1,1,"10,044",Tons,"1,239","1,082",-5,0,"1,244",Tons,"1,305",5
732599,"Cast articles of iron or steel, n.e.s. (excl. articles of non-malleable cast iron, and grinding . . .", , , ,9, , , ,21,"22,154",2,1,"4,881",Tons,"4,539","25,197",-6,1,"34,100",Tons,"1,355",358
732611,"Grinding balls and similar articles for mills, of iron or steel, forged or stamped, but not . . .", , , ,13, , , ,19,"16,172",8,1,"12,189",Tons,"1,327",3,-67,0,595,Tons,"1,427",2
732619,"Articles of iron or steel, forged or stamped, but not further worked, n.e.s. (excl. grinding . . .", , , ,8, , , ,63,"30,371",-3,1,"6,876",Tons,"4,417","2,437",5,0,"6,696",Tons,"6,270",35
732620,"Articles of iron or steel wire, n.e.s.", , , ,10, , , ,80,"23,352",2,1,"8,007",No quantity,"2,916","2,109",3,0,0,No quantity, ,36
732690,"Articles of iron or steel, n.e.s. (excl. cast articles or articles of iron or steel wire)", , , ,8, , , ,462,"397,490",-2,1,"79,073",No quantity,"5,027","37,621",-14,0,0,No quantity, ,-
740100,"Copper mattes; cement copper ""precipitated copper""", , , ,5, , , ,0,"643,474",100,43,0,Tons, , , , ,0,Tons, ,
740200,"Copper, unrefined; copper anodes for electrolytic refining", , , ,5, , , ,0,"18,010",-9,0,954,Tons,"18,878","29,668",42,0,"15,921",Tons,"6,287",4
740311,"Copper, refined, in the form of cathodes and sections of cathodes", , , ,2, , , ,0,"14,292",-12,0,"2,323",Tons,"6,152","102,981",82,0,"120,777",Tons,"8,852",1
740312,"Copper, refined, in the form of wire-bars", , , ,5, , , ,0,7,-43,0,1,Tons,"7,000",186,-45,0,0,Tons, ,6
740313,"Copper, refined, in the form of billets", , , ,5, , , ,0,217,38,0,0,Tons, ,"11,209",-2,1, ,Tons, ,
740319,"Copper, refined, unwrought (excl. copper in the form of billets, wire-bars, cathodes and sections . . .", , , ,5, , , ,0,738,-40,0,90,Tons,"8,200","33,129",16,1,"1,156",Tons,"8,034",7
740321,"Copper-zinc base alloys ""brass"" unwrought", , , ,5, , , ,0,912,4,0,57,Tons,"16,000","20,483",15,1,"1,521",Tons,"5,289",1
740322,"Copper-tin base alloys ""bronze"" unwrought", , , ,5, , , ,0,83,3,0,2,Tons,"41,500",420,183,0,144,Tons,"11,049",-
740329,"Copper alloys unwrought (excl. copper-zinc base alloys ""brass"", copper-tin base alloys ""bronze"", . . .", , , ,5, , , ,0,481,23,0,31,Tons,"15,516","2,223",53,0,135,Tons,"10,467",1
740400,"Waste and scrap, of copper (excl. ingots or other similar unwrought shapes, of remelted copper . . .", , , ,0, , , ,12,"156,953",5,0,"18,784",Tons,"8,356","720,316",12,2,"14,811",Tons,"2,994",
740500,"Master alloys of copper (excl. phosphorus-copper compounds ""copper phosphide"" containing by . . .", , , ,5, , , ,0,"1,579",5,0,30,Tons,"52,633",1,19,0,952,Tons,"8,788",
740610,"Copper powders, of non-lamellar structure (excl. grains of copper)", , , ,5, , , ,0,120,-9,0,4,Tons,"30,000", , , ,98,Tons,"4,173",-
740620,"Copper powders, of lamellar structure, and flakes of copper (excl. grains of copper and spangles . . .", , , ,5, , , ,0,"1,024",2,0,57,Tons,"17,965",772,46,0,319,Tons,"8,254",6
740710,"Bars, rods and profiles, of refined copper, n.e.s.", , , ,5, , , ,0,"1,521",-26,0,102,Tons,"14,912","78,881",6,3,"2,029",Tons,"9,188",79
740721,"Bars, rods and profiles, of copper-zinc base alloys ""brass"", n.e.s.", , , ,5, , , ,0,"2,737",3,0,248,Tons,"11,036",527,58,0,547,Tons,"6,755",1
740729,"Bars, rods and profiles of copper alloys, n.e.s. (excl. such articles of copper-zinc base alloys . . .", , , ,5, , , ,0,"8,118",29,1,328,Tons,"24,750","3,204",-9,0,593,Tons,"13,830",14
740811,"Wire of refined copper, with a maximum cross-sectional dimension of > 6 mm", , , ,5, , , ,0,"9,652",-19,0,"1,217",No quantity,"7,931","1,557,766",12,9,"1,808",No quantity,"3,900",520
740819,"Wire of refined copper, with a maximum cross-sectional dimension of <= 6 mm", , , ,5, , , ,0,"30,797",33,1,"3,638",Tons,"8,465","13,971",7,0,276,Tons,"9,942",32
740821,"Wire of copper-zinc base alloys ""brass""", , , ,5, , , ,0,"10,276",10,1,"1,138",Tons,"9,030",8,11,0,65,Tons,"9,938",4
740822,"Wire of copper-nickel alloys ""cupro-nickel"" or copper-nickel-zinc alloys ""nickel silver""", , , ,5, , , ,0,36,-33,0,2,Tons,"18,000",90,95,0,9,Tons,"15,222",
740829,"Wire of copper alloys (other than copper-zinc alloys [brass], copper-nickel alloys [cupro-nickel] . . .", , , ,5, , , ,0,"3,168",9,0,195,Tons,"16,246","6,438",5,1,24,Tons,"18,583",6
740911,"Plates, sheets and strip, of refined copper, in coils, of a thickness of > 0,15 mm (excl. expanded . . .", , , ,5, , , ,0,"3,309",-22,0,288,Tons,"11,490",737,38,0,"1,294",Tons,"10,368",1
740919,"Plates, sheets and strip, of refined copper, not in coils, of a thickness of > 0,15 mm (excl. . . .", , , ,5, , , ,0,"4,102",-6,0,222,Tons,"18,477","1,084",38,0,"1,571",Tons,"9,744",1
740921,"Plates, sheets and strip, of copper-zinc base alloys ""brass"", of a thickness of > 0,15 mm, . . .", , , ,5, , , ,0,893,-23,0,89,Tons,"10,034",42,18,0,237,Tons,"8,055",1
740929,"Plates, sheets and strip, of copper-zinc base alloys ""brass"", of a thickness of > 0,15 mm, . . .", , , ,5, , , ,0,709,-33,0,61,Tons,"11,623",14,-36,0,87,Tons,"11,483",1
740931,"Plates, sheets and strip, of copper-tin base alloys ""bronze"", of a thickness of > 0,15 mm, . . .", , , ,5, , , ,0,"2,735",1,0,196,Tons,"13,954","2,492",56,0,47,Tons,"14,702",
740939,"Plates, sheets and strip, of copper-tin base alloys ""bronze"", of a thickness of > 0,15 mm, . . .", , , ,5, , , ,0,"2,061",96,1,63,Tons,"32,714",13,-40,0,5,Tons,"23,200",
740940,"Plates, sheets and strip, of copper-nickel base alloys ""cupro-nickel"" or copper-nickel-zinc . . .", , , ,5, , , ,0,495,-17,0,31,Tons,"15,968",3,39,0,6,Tons,"29,833",
740990,"Plates, sheets and strip, of copper alloys, of a thickness of > 0,15 mm (excl. copper-zinc . . .", , , ,5, , , ,0,"2,580",9,0,94,Tons,"27,447",509,56,0,3,Tons,"25,333",
741011,"Refined copper foil, not backed, of a thickness of <= 0,15 mm (excl. stamping foils of heading . . .", , , ,5, , , ,0,"1,992",0,0,92,Tons,"21,652",95,5,0,"1,315",Tons,"10,129",
741012,"Copper alloy foil, not backed, of a thickness of <= 0,15 mm (excl. stamping foils of heading . . .", , , ,5, , , ,0,950,-1,0,64,Tons,"14,844",1,-42,0,642,Tons,"9,164",
741021,"Refined copper foil, backed, of a thickness ""excl. any backing"" of <= 0,15 mm (excl. stamping . . .", , , ,5, , , ,0,"9,679",8,0,0,Tons, ,95,-24,0,0,Tons, ,
741022,"Copper alloy foil, backed, of a thickness ""excl. any backing"" of <= 0,15 mm (excl. stamping . . .", , , ,5, , , ,0,219,1,0,9,Tons,"24,333",44,113,0,1,Tons,"100,000",
741110,Tubes and pipes of refined copper, , , ,3, , , ,24,"113,908",5,1,"11,381",Tons,"10,009","1,278",36,0,"14,333",Tons,"10,663",149
741121,"Tubes and pipes of copper-zinc base alloys ""brass""", , , ,5, , , ,24,"1,417",5,0,84,Tons,"16,869",121,18,0,425,Tons,"11,849",
741122,"Tubes and pipes of copper-nickel base alloys ""cupro-nickel"" or copper-nickel-zinc base alloys . . .", , , ,5, , , ,12,"3,188",9,1,176,Tons,"18,114",7,-1,0,519,Tons,"14,079",
741129,"Tubes and pipes of copper alloys (excl. copper-zinc base alloys ""brass"", copper-nickel base . . .", , , ,3, , , ,18,"1,188",10,0,68,Tons,"17,471",748,13,0,79,Tons,"13,861",-
741210,"Refined copper tube or pipe fittings ""e.g., couplings, elbows, sleeves""", , , ,5, , , ,12,"5,956",0,1,360,Tons,"16,544","2,240",22,0,184,Tons,"19,185",9
741220,"Copper alloy tube or pipe fittings ""e.g., couplings, elbows, sleeves""", , , ,3, , , ,18,"208,742",12,4,"15,173",Tons,"13,757","1,687",20,0,"2,037",Tons,"12,122",86
741300,"Stranded wire, cables, plaited bands and the like, of copper (excl. electrically insulated . . .", , , ,3, , , ,0,"1,081",-32,0,74,Tons,"14,608",268,79,0,201,Tons,"13,433",3
741510,"Nails, tacks, drawing pins, staples and similar articles, of copper or with shafts of iron . . .", , , ,5, , , ,0,174,-3,0,6,Tons,"29,000",154,6,0,11,Tons,"31,455",-
741521,"Washers, ""incl. spring washers and spring lock washers"", of copper", , , ,5, , , ,0,906,-4,1,23,Tons,"39,391",25,21,0,16,Tons,"40,188",
741529,"Rivets, cotters, cotter pins and the like, not threaded, of copper (excl. spring washers and . . .", , , ,5, , , ,0,982,0,0,58,Tons,"16,931",133,5,0,11,Tons,"83,818",-
741533,"Screws, bolts, nuts and similar articles, threaded, of copper (other than screw hooks, ring- . . .", , , ,5, , , ,0,"4,216",9,1,"1,401",Tons,"3,009",251,8,0,148,Tons,"20,385",-
741539,"Screw hooks, screw rings and the like, threaded, of copper (excl. standard screws and bolts . . .", , , ,5, , , ,0,"5,216",21,1,513,Tons,"10,168",72,-9,0,175,Tons,"10,486",1
741810,"Table, kitchen or other household articles and parts thereof, and pot scourers and scouring . . .", , , ,5, , , ,30,"1,176",8,1,48,Tons,"24,500",252,4,0,135,Tons,"17,822",
741820,"Sanitary ware and parts thereof, of copper (excl. cans, boxes and similar containers of heading . . .", , , ,5, , , ,8,"14,782",17,2,649,Tons,"22,777",565,52,0,"1,074",Tons,"15,195",18
741910,"Chain and parts thereof, of copper (excluding watch chains, necklace chains and the like)", , , ,5, , , ,16,165,-13,0,9,Tons,"18,333",12,-14,0,0,Tons, ,
741991,"Articles of copper, cast, moulded, stamped or forged, but not further worked, n.e.s.", , , ,5, , , ,16,"2,380",7,0,125,Tons,"19,040",27,-46,0,0,Tons, ,1
741999,"Articles of copper, n.e.s.", , , ,5, , , ,48,"21,773",3,1,"1,381",Tons,"15,766",954,4,0,0,Tons, ,
750120,Nickel oxide sinters and other intermediate products of nickel metallurgy (excl. nickel mattes), , , ,5, , , ,0, , , , ,Tons, ,397,208,0,7,Tons,"25,143",
750210,"Nickel, not alloyed, unwrought", , , ,3, , , ,0,66,-29,0,2,Tons,"33,000","61,104",51,0,587,Tons,"20,487",-
750220,Unwrought nickel alloys, , , ,2, , , ,2,"1,605",-37,0,44,Tons,"36,477", , , ,1,Tons,"64,000",
750300,"Waste and scrap, of nickel (excl. ingots or other similar unwrought shapes, of remelted nickel . . .", , , ,3, , , ,8,"4,771",156,0,332,Tons,"14,370","17,170",27,1,2,Tons,"12,500",89
750400,"Powders and flakes, of nickel (excl. nickel oxide sinters)", , , ,3, , , ,4,"4,087",5,0,112,Tons,"36,491","1,292",125,0,41,Tons,"60,976",
750511,"Bars, rods, profiles and wire, of non-alloy nickel, n.e.s. (excl. electrically insulated products)", , , ,15, , , ,0,181,99,0,7, ,"25,857", , , ,1, ,"61,000",
750512,"Bars, rods, profiles and wire, of nickel alloys, n.e.s. (excl. electrically insulated products)", , , ,8, , , ,0,"9,408",8,0,263,Tons,"35,772",943,16,0,639,Tons,"33,546",1
750521,Wire of non-alloy nickel (excl. electrically insulated products), , , ,15, , , ,0,192,-1,0,4,Tons,"48,000",1,-31,0,1,Tons,"99,000",
750522,Wire of nickel alloys (excl. electrically insulated products), , , ,15, , , ,0,"6,671",19,1,204,Tons,"32,701","1,535",158,0,394,Tons,"46,482",-
750610,"Plates, sheets, strip and foil, of non-alloy nickel (excl. expanded plates, sheets or strip)", , , ,15, , , ,1,"2,305",34,1,"1,568",Tons,"1,470",31,91,0,11,Tons,"31,091",1
750620,"Plates, sheets, strip and foil, of nickel alloys (excl. expanded plates, sheets or strip)", , , ,8, , , ,2,"7,824",-9,0,194,Tons,"40,330","2,441",27,0,148,Tons,"35,074",-
750711,Tubes and pipes of non-alloy nickel, , , ,15, , , ,17,589,3,2,3,Tons,"196,333", , , ,2,Tons,"106,000",
750712,Tubes and pipes of nickel alloys, , , ,5, , , ,18,"4,561",-3,1,134,Tons,"34,037","7,165",-15,1,543,Tons,"40,845",36
750720,"Tube or pipe fittings, of nickel", , , ,8, , , ,34,941,-7,0,12,Tons,"78,417",809,89,0,155,Tons,"64,219",-
750810,"Cloth, grill, netting and fencing, of nickel wire", , , ,5, , , ,18,44,-12,0,1,Tons,"44,000", , , ,36,Tons,"7,333",
750890,"Articles of nickel, n.e.s.", , , ,3, , , ,38,"4,728",-25,0,29,No quantity,"163,034","13,968",120,1,0,No quantity, ,-
760110,"Aluminium, not alloyed, unwrought", , , ,0, , , ,0,"12,920",-37,0,"4,431",Tons,"2,916","2,164,183",15,5,"1,951",Tons,"2,026",765
760120,Unwrought aluminium alloys, , , ,3, , , ,4,"15,618",21,0,"6,350",Tons,"2,460","6,216,960",8,13,"5,290",Tons,"3,062","1,034"
760200,"Waste and scrap, of aluminium (excl. slags, scale and the like from iron and steel production, . . .", , , ,0, , , ,12,"18,400",-3,0,"9,887",Tons,"1,861","596,421",12,3,"25,015",Tons,"1,135","1,555"
760310,"Powders of aluminium, of non-lamellar structure (excl. pellets of aluminium)", , , ,10, , , ,1,425,-16,0,73,Tons,"5,822",466,-26,0,752,Tons,"5,293",6
760320,"Powders of aluminium, of lamellar structure, and flakes of aluminium (excl. pellets of aluminium, . . .", , , ,10, , , ,1,859,-18,0,61,Tons,"14,082","6,061",233,1,192,Tons,"7,656",3
760410,"Bars, rods and profiles, of non-alloy aluminium, n.e.s.", , , ,7, , , ,0,"1,894",-8,0,164,Tons,"11,549","69,387",21,5,"6,336",Tons,"2,668",206
760421,"Hollow profiles of aluminium alloys, n.e.s.", , , ,12, , , ,0,"31,654",6,0,"7,004",Tons,"4,519","18,436",1,0,"2,571",Tons,"5,170",5
760429,"Bars, rods and solid profiles, of aluminium alloys, n.e.s.", , , ,7, , , ,3,"37,768",4,0,"7,145",Tons,"5,286","88,989",31,1,"6,372",Tons,"5,550",202
760511,"Wire of non-alloy aluminium, with a maximum cross-sectional dimension of > 7 mm (excl. stranded . . .", , , ,9, , , ,0,"3,272",2,0,"1,013",No quantity,"3,230","145,678",11,4,"6,021",No quantity,"2,771",82
760519,"Wire of non-alloy aluminium, with a maximum cross-sectional dimension of <= 7 mm (other than . . .", , , ,10, , , ,0,816,-10,0,177,Tons,"4,610",625,27,0,168,Tons,"3,839",3
760521,"Wire of aluminium alloys, with a maximum cross-sectional dimension of > 7 mm (excl. stranded . . .", , , ,9, , , ,0,"9,255",6,1,"2,022",No quantity,"4,577","4,565",20,0,"1,454",No quantity,"5,396",39
760529,"Wire, of aluminium alloys, having a maximum cross-sectional dimension of <= 7 mm (other than . . .", , , ,5, , , ,0,"4,121",0,1,747,Tons,"5,517",608,51,0,526,Tons,"6,492",13
760611,"Plates, sheets and strip, of non-alloy aluminium, of a thickness of > 0,2 mm, square or rectangular . . .", , , ,13, , , ,28,"15,863",-3,0,"3,867",Tons,"4,102","13,054",26,0,"29,358",Tons,"3,333",72
760612,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm, square or rectangular . . .", , , ,10, , , ,72,"61,819",-6,0,"13,446",Tons,"4,598","60,843",5,0,"122,018",Tons,"3,959",119
760691,"Plates, sheets and strip, of non-alloy aluminium, of a thickness of > 0,2 mm (other than square . . .", , , ,12, , , ,0,"7,852",17,1,"1,751",Tons,"4,484","2,660",-16,0,"1,641",Tons,"3,768",16
760692,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm (other than square . . .", , , ,12, , , ,1,"2,809",20,0,539,Tons,"5,212","26,166",24,1,"5,093",Tons,"3,855",32
760711,"Aluminium foil, not backed, rolled but not further worked, of a thickness of <= 0,2 mm (excl. . . .", , , ,7, , , ,55,"97,466",11,1,"22,024",Tons,"4,425","21,518",7,0,"62,619",Tons,"3,947",172
760719,"Aluminium foil, not backed, rolled and further worked, of a thickness of <= 2 mm (excl. stamping . . .", , , ,13, , , ,36,"17,501",0,0,"2,926",Tons,"5,981","16,150",21,0,"7,523",Tons,"4,277",71
760720,"Aluminium foil, backed, of a thickness (excl. any backing) of <= 0,2 mm (excl. stamping foils . . .", , , ,12, , , ,22,"30,250",-4,1,"6,476",Tons,"4,671","22,079",16,1,"17,026",Tons,"3,844",91
760810,Tubes and pipes of non-alloy aluminium (excl. hollow profiles), , , ,9, , , ,12,"4,203",1,1,"1,020",Tons,"4,121",156,-11,0,524,Tons,"5,842",24
760820,Tubes and pipes of aluminium alloys (excl. hollow profiles), , , ,5, , , ,64,"5,836",-16,0,865,Tons,"6,747","8,239",29,0,"1,225",Tons,"6,042",10
760900,"Aluminium tube or pipe fittings ""e.g., couplings, elbows, sleeves""", , , ,10, , , ,12,"8,966",-1,1,932,Tons,"9,620",859,-7,0,536,Tons,"9,597",12
761010,"Doors, windows and their frames and thresholds for door, of aluminium (excl. door furniture)", , , ,12, , , ,12,"18,204",3,0,"1,592",Tons,"11,435","17,366",-14,0,0,Tons, ,55
761090,"Structures and parts of structures, of aluminium, n.e.s., and plates, rods, profiles, tubes . . .", , , ,11, , , ,26,"55,298",-7,1,"10,657",Tons,"5,189","71,788",8,1,"9,326",Tons,"6,882",241
761100,"Reservoirs, tanks, vats and similar containers, of aluminium, for any material (other than . . .", , , ,9, , , ,7,"8,704",45,4,"1,202",Tons,"7,241",84,-9,0,0,Tons, ,8
761210,"Collapsible tubular containers, of aluminium", , , ,10, , , ,18,"2,259",-20,0,192,Tons,"11,766",74,-24,0,0,Tons, ,3
761290,"Casks, drums, cans, boxes and similar containers, incl. rigid tubular containers, of aluminium, . . .", , , ,8, , , ,72,"27,255",12,0,0,No quantity, ,"107,152",48,2,0,No quantity, ,302
761300,Aluminium containers for compressed or liquefied gas, , , ,10, , , ,24,"3,335",14,1,0,Tons, ,"1,856",45,0,0,Tons, ,8
761410,"Stranded wire, cables, plaited bands and the like, of aluminium, with steel core (excl. such . . .", , , ,9, , , ,0,1,-75,0,0,Tons, ,"1,402",127,0,99,Tons,"5,040",1
761490,"Stranded wires, cables, ropes and similar articles, of aluminium (other than with steel core . . .", , , ,10, , , ,0,941,20,0,172,Tons,"5,471","7,836",281,1,422,Tons,"3,429",1
761510,"Table, kitchen or other household articles and parts thereof, and pot scourers and scouring . . .", , , ,9, , , ,45,"67,525",-7,1,"8,873",Tons,"7,610","14,234",8,0,"17,581",Tons,"5,772",429
761520,"Sanitary ware and parts thereof, of aluminium (excl. cans, boxes and similar containers of . . .", , , ,9, , , ,9,"1,166",-3,0,97,Tons,"12,021",233,-11,0,121,Tons,"12,860",4
761610,"Nails, tacks, staples, screws, bolts, nuts, screw hooks, rivets, cotters, cotter pins, washers . . .", , , ,9, , , ,7,"27,042",-13,2,550,Tons,"49,167",276,-15,0,420,Tons,"13,160",33
761691,"Cloth, grill, netting and fencing, of aluminium wire (excl. cloth of metal fibres for clothing, . . .", , , ,10, , , ,7,746,25,0,48,Tons,"15,542",681,64,0,391,Tons,"8,969",1
761699,"Articles of aluminium, n.e.s.", , , ,8, , , ,76,"289,559",0,2,"65,189",Tons,"4,442","9,149",-4,0,"18,129",Tons,"5,260",344
780110,"Unwrought lead, refined", , , ,3, , , ,0,"3,385",-8,0,"1,434",Tons,"2,361","50,343",-11,1,"18,257",Tons,"1,886",23
780191,"Unwrought lead, containing by weight antimony as the principal other element", , , ,3, , , ,0,153,64,0,64,Tons,"2,391","11,952",-14,1,"6,357",Tons,"2,300",-
780199,Unwrought lead (excl. refined lead and lead containing by weight antimony as the principal . . ., , , ,3, , , ,0,"1,844",59,0,844,Tons,"2,185","74,730",16,4,"5,806",Tons,"2,483",9
780200,"Lead waste and scrap (excl. ashes and residues from lead production ""heading No 2620"", and . . .", , , ,3, , , ,4,152,-48,0,156, ,974,"6,567",-13,1,"3,941", ,"1,386",
780411,"Lead sheets, strip and foil, of a thickness ""excl. any backing"" of <= 0,2 mm", , , ,5, , , ,0,87,4,0,18,Tons,"4,833",25,292,0,378,Tons,"2,614",
780419,"Lead plates; lead sheets, strip and foil, of a thickness ""excl. any backing"" of > 0,2 mm", , , ,5, , , ,0,552,-19,0,91,Tons,"6,066","3,649",-1,1,"1,756",Tons,"1,984",5
780600,"Articles of lead, n.e.s.", , , ,4, , , ,36,"10,826",33,3,"1,615",Tons,"6,703",598,63,0,"2,411",Tons,"1,169",3
790111,"Unwrought zinc, not alloyed, containing by weight >= 99,99% of zinc", , , ,3, , , ,0,"155,794",132,1,"41,190",Tons,"3,782","15,205",-11,0,"61,859",Tons,"3,708",42
790112,"Unwrought zinc, not alloyed, containing by weight < 99,99% of zinc", , , ,3, , , ,0,"68,383",35,2,"18,761",Tons,"3,645","108,690",25,3,"5,968",Tons,"3,824",29
790120,Unwrought zinc alloys, , , ,5, , , ,0,"77,150",25,3,"20,789",Tons,"3,711",657,-14,0,"3,041",Tons,"3,839",3
790200,"Zinc waste and scrap (excl. ash and residues from zinc production ""heading 2620"", ingots and . . .", , , ,3, , , ,4,303,-10,0,111,Tons,"2,730","19,827",-15,2,"1,250",Tons,"1,548",5
790310,Zinc dust, , , ,3, , , ,0,"3,495",-5,1,654,Tons,"5,344","3,515",40,1,959,Tons,"3,436",27
